Year,Series,Outcome,Decision type,Units,Value
2015,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",331.6
2016,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",312.4
2017,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",233.6
2018,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",304.3
2019,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",202
2020,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",169.2
2021,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",155.5
2022,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",234.5
2023,"1. Number of asylum first instance decisions per 100,000 population",,,"Number per 100,000 population",197.7
2015,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,17.6
2016,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,11.6
2017,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,15.1
2018,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,10
2019,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,4.6
2020,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,8.5
2021,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,2.2
2022,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,1
2023,"2. Percentage outcome of processed applications, by decision",Granted refugee status,,Percentage,1.8
2015,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,66.2
2016,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,71.4
2017,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,53.7
2018,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,33.1
2019,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,34.5
2020,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,22.2
2021,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,20
2022,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,14.1
2023,"2. Percentage outcome of processed applications, by decision",Other forms of protection status,,Percentage,27.6
2015,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,16.2
2016,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,16.9
2017,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,31.3
2018,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,56.9
2019,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,60.9
2020,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,69.3
2021,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,77.8
2022,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,84.9
2023,"2. Percentage outcome of processed applications, by decision",Rejections,,Percentage,70.6
2015,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,816
2016,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,1072
2017,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,1502
2018,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,2020
2019,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,4259
2020,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,5138
2021,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,4013
2022,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,2974
2023,"3. Total asylum decisions pending as at end of year",,Total pending decisions,Number of decisions,1981
2015,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,383
2016,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,276
2017,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,246
2018,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,504
2019,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,685
2020,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,817
2021,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,751
2022,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,884
2023,"3. Total asylum decisions pending as at end of year",,Pending appeal decision (final instance decision),Number of decisions,954
2015,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,433
2016,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,796
2017,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,1256
2018,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,1516
2019,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,3574
2020,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,4321
2021,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,3262
2022,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,2090
2023,"3. Total asylum decisions pending as at end of year",,Pending asylum application decision (first instance decision),Number of decisions,1027

