Year,Series,Type of waste treatment,Units,Value
2010,"1. Electronic waste collected, per capita",,Kilograms,3.7
2011,"1. Electronic waste collected, per capita",,Kilograms,3.76
2012,"1. Electronic waste collected, per capita",,Kilograms,3.59
2013,"1. Electronic waste collected, per capita",,Kilograms,4
2014,"1. Electronic waste collected, per capita",,Kilograms,3.85
2015,"1. Electronic waste collected, per capita",,Kilograms,4.46
2016,"1. Electronic waste collected, per capita",,Kilograms,5.37
2017,"1. Electronic waste collected, per capita",,Kilograms,6.31
2018,"1. Electronic waste collected, per capita",,Kilograms,6.55
2019,"1. Electronic waste collected, per capita",,Kilograms,8.43
2020,"1. Electronic waste collected, per capita",,Kilograms,6.89
2021,"1. Electronic waste collected, per capita",,Kilograms,5.42
2010,2. Electronic waste collected,,Tonnes,1535
2011,2. Electronic waste collected,,Tonnes,1564
2012,2. Electronic waste collected,,Tonnes,1506
2013,2. Electronic waste collected,,Tonnes,1704
2014,2. Electronic waste collected,,Tonnes,1673
2015,2. Electronic waste collected,,Tonnes,1984
2016,2. Electronic waste collected,,Tonnes,2445
2017,2. Electronic waste collected,,Tonnes,2953
2018,2. Electronic waste collected,,Tonnes,3175
2019,2. Electronic waste collected,,Tonnes,4248
2020,2. Electronic waste collected,,Tonnes,3552
2021,2. Electronic waste collected,,Tonnes,2809
2010,3. Hazardous waste exported,,Tonnes,17831
2011,3. Hazardous waste exported,,Tonnes,16828
2012,3. Hazardous waste exported,,Tonnes,14307
2013,3. Hazardous waste exported,,Tonnes,10653
2014,3. Hazardous waste exported,,Tonnes,19422
2015,3. Hazardous waste exported,,Tonnes,17146
2016,3. Hazardous waste exported,,Tonnes,110008
2017,3. Hazardous waste exported,,Tonnes,15862
2018,3. Hazardous waste exported,,Tonnes,19537
2019,3. Hazardous waste exported,,Tonnes,9820
2020,3. Hazardous waste exported,,Tonnes,20743
2021,3. Hazardous waste exported,,Tonnes,8236
2022,3. Hazardous waste exported,,Tonnes,15050
2010,4. Hazardous waste generated,,Tonnes,24996
2012,4. Hazardous waste generated,,Tonnes,38370
2014,4. Hazardous waste generated,,Tonnes,36871
2016,4. Hazardous waste generated,,Tonnes,134559
2018,4. Hazardous waste generated,,Tonnes,33024
2020,4. Hazardous waste generated,,Tonnes,41677
2022,4. Hazardous waste generated,,Tonnes,44777
2010,"5. Hazardous waste generated, per capita",,Kilograms,60
2012,"5. Hazardous waste generated, per capita",,Kilograms,91
2014,"5. Hazardous waste generated, per capita",,Kilograms,85
2016,"5. Hazardous waste generated, per capita",,Kilograms,296
2018,"5. Hazardous waste generated, per capita",,Kilograms,68
2020,"5. Hazardous waste generated, per capita",,Kilograms,81
2022,"5. Hazardous waste generated, per capita",,Kilograms,84
2010,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,364
2010,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2010,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2010,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2010,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,502
2014,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,438
2014,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2014,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2014,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2014,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,477
2018,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,473
2018,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2018,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2018,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2018,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,642
2022,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2022,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2022,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2022,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2022,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,243
2010,7. Hazardous waste treated or disposed,,Tonnes,364
2012,7. Hazardous waste treated or disposed,,Tonnes,502
2014,7. Hazardous waste treated or disposed,,Tonnes,438
2016,7. Hazardous waste treated or disposed,,Tonnes,477
2018,7. Hazardous waste treated or disposed,,Tonnes,473
2020,7. Hazardous waste treated or disposed,,Tonnes,642
2022,7. Hazardous waste treated or disposed,,Tonnes,243
2010,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2010,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,225869.15
2010,8. Municipal waste treated by type of treatment,Incineration,Tonnes,61.28
2010,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2010,8. Municipal waste treated by type of treatment,Recycling,Tonnes,22697.8
2010,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2011,8. Municipal waste treated by type of treatment,Composting,Tonnes,2943.58
2011,8. Municipal waste treated by type of treatment,Incineration,Tonnes,117.1
2011,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,2555.3
2011,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,213321.3
2011,8. Municipal waste treated by type of treatment,Recycling,Tonnes,36929.7
2011,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2012,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,211311.6
2012,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,1029
2012,8. Municipal waste treated by type of treatment,Incineration,Tonnes,26.6
2012,8. Municipal waste treated by type of treatment,Composting,Tonnes,5119.3
2012,8. Municipal waste treated by type of treatment,Recycling,Tonnes,32399.7
2012,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2013,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2013,8. Municipal waste treated by type of treatment,Incineration,Tonnes,44.1
2013,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,601.5
2013,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,210453.9
2013,8. Municipal waste treated by type of treatment,Recycling,Tonnes,32115.3
2013,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2014,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,219263
2014,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,837.1
2014,8. Municipal waste treated by type of treatment,Incineration,Tonnes,53.8
2014,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2014,8. Municipal waste treated by type of treatment,Recycling,Tonnes,31819.6
2014,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2015,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2015,8. Municipal waste treated by type of treatment,Incineration,Tonnes,41.1
2015,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,799.6
2015,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,300241.7
2015,8. Municipal waste treated by type of treatment,Recycling,Tonnes,31063.8
2015,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2016,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,221812.6
2016,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,805.5
2016,8. Municipal waste treated by type of treatment,Incineration,Tonnes,27.6
2016,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2016,8. Municipal waste treated by type of treatment,Recycling,Tonnes,36696.1
2016,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2017,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2017,8. Municipal waste treated by type of treatment,Incineration,Tonnes,20.2
2017,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2017,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,248006.1
2017,8. Municipal waste treated by type of treatment,Recycling,Tonnes,35826.1
2017,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2018,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,272031.7
2018,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2018,8. Municipal waste treated by type of treatment,Incineration,Tonnes,16
2018,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2018,8. Municipal waste treated by type of treatment,Recycling,Tonnes,34098.9
2018,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2019,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2019,8. Municipal waste treated by type of treatment,Incineration,Tonnes,17.2
2019,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2019,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,320631.1
2019,8. Municipal waste treated by type of treatment,Recycling,Tonnes,31997.1
2019,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2020,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,273728.8
2020,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2020,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2020,8. Municipal waste treated by type of treatment,Incineration,Tonnes,74.9
2020,8. Municipal waste treated by type of treatment,Recycling,Tonnes,36055
2020,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2021,8. Municipal waste treated by type of treatment,Incineration,Tonnes,125.4
2021,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2021,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,12742.08
2021,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,269166.71
2021,8. Municipal waste treated by type of treatment,Recycling,Tonnes,41890.36
2021,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,0
2022,8. Municipal waste treated by type of treatment,Incineration,Tonnes,9.46
2022,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2022,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,4098.61
2022,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,273369.71
2022,8. Municipal waste treated by type of treatment,Recycling,Tonnes,40272
2022,8. Municipal waste treated by type of treatment,Preparing for re-use,Tonnes,1031.49
2023,8. Municipal waste treated by type of treatment,Incineration,Tonnes,22.9
2023,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2023,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,9073.75
2023,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,247071.24
