Year,Series,Units,Value
2015,Municipal waste recycled,Tonnes,31000
2016,Municipal waste recycled,Tonnes,37000
2017,Municipal waste recycled,Tonnes,36000
2018,Municipal waste recycled,Tonnes,34000
2019,Municipal waste recycled,Tonnes,32000
2020,Municipal waste recycled,Tonnes,36000
2021,Municipal waste recycled,Tonnes,43000
2022,Municipal waste recycled,Tonnes,41000
2023,Municipal waste recycled,Tonnes,56487
2015,Proportion of municipal waste recycled,Percentage (%),10.9
2016,Proportion of municipal waste recycled,Percentage (%),12.7
2017,Proportion of municipal waste recycled,Percentage (%),11.5
2018,Proportion of municipal waste recycled,Percentage (%),10.5
2019,Proportion of municipal waste recycled,Percentage (%),9.1
2020,Proportion of municipal waste recycled,Percentage (%),10.9
2021,Proportion of municipal waste recycled,Percentage (%),13.6
2022,Proportion of municipal waste recycled,Percentage (%),12.5
2023,Proportion of municipal waste recycled,Percentage (%),17
2015,Electronic waste recycled,Tonnes,1292
2016,Electronic waste recycled,Tonnes,2527
2017,Electronic waste recycled,Tonnes,2128
2018,Electronic waste recycled,Tonnes,2336
2019,Electronic waste recycled,Tonnes,2542
2020,Electronic waste recycled,Tonnes,2070
2021,Electronic waste recycled,Tonnes,2336
2022,Electronic waste recycled,Tonnes,2285
2023,Electronic waste recycled,Tonnes,2274
2015,Proportion of electronic waste recycled,Percentage (%),65.1
2016,Proportion of electronic waste recycled,Percentage (%),103.4
2017,Proportion of electronic waste recycled,Percentage (%),72.1
2018,Proportion of electronic waste recycled,Percentage (%),73.6
2019,Proportion of electronic waste recycled,Percentage (%),59.9
2020,Proportion of electronic waste recycled,Percentage (%),58.3
2021,Proportion of electronic waste recycled,Percentage (%),83.2
2022,Proportion of electronic waste recycled,Percentage (%),75.9
2023,Proportion of electronic waste recycled,Percentage (%),71.6
2015,Electronic waste recycled per capita,Kilograms,2.91
2016,Electronic waste recycled per capita,Kilograms,5.55
2017,Electronic waste recycled per capita,Kilograms,4.55
2018,Electronic waste recycled per capita,Kilograms,4.82
2019,Electronic waste recycled per capita,Kilograms,5.04
2020,Electronic waste recycled per capita,Kilograms,4.02
2021,Electronic waste recycled per capita,Kilograms,4.51
2022,Electronic waste recycled per capita,Kilograms,4.3
2023,Electronic waste recycled per capita,Kilograms,4.1
