Year,Series,Units,Value
2015,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,726
2016,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,776
2017,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,459
2018,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,441
2019,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,340
2020,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,903
2021,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,1492
2022,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,1597
2023,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,1608
2024,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,1450
2025,Number of cases referred to the Child Protection Services concerning service users aged <1 to 14 years,Number of cases,1343
2015,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",11.5
2016,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",12.1
2017,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",7
2018,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",6.6
2019,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",5
2020,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",13
2021,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",21.8
2022,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",23.3
2023,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",23.2
2024,"Rate of referrals to the Child Protection Services concerning service users aged <1 to 14 years, per 1,000 population aged 0-14","Per 1,000 population aged 0-14",20.8
