Year,Age,Sex,Broad citizenship,Form of exploitation,Value
2019,Total,Both sexes,Total,Total,9
2020,Total,Both sexes,Total,Total,12
2021,Total,Both sexes,Total,Total,4
2022,Total,Both sexes,Total,Total,22
2023,Total,Both sexes,Total,Total,6
2019,Total,Female,Total,Total,6
2020,Total,Female,Total,Total,12
2021,Total,Female,Total,Total,4
2022,Total,Female,Total,Total,19
2023,Total,Female,Total,Total,6
2019,Total,Male,Total,Total,3
2020,Total,Male,Total,Total,0
2021,Total,Male,Total,Total,0
2022,Total,Male,Total,Total,3
2023,Total,Male,Total,Total,0
2019,18+,Both sexes,Total,Total,9
2020,18+,Both sexes,Total,Total,9
2021,18+,Both sexes,Total,Total,4
2022,18+,Both sexes,Total,Total,22
2023,18+,Both sexes,Total,Total,6
2019,0-17,Both sexes,Total,Total,0
2020,0-17,Both sexes,Total,Total,3
2021,0-17,Both sexes,Total,Total,0
2022,0-17,Both sexes,Total,Total,0
2023,0-17,Both sexes,Total,Total,0
2019,Total,Both sexes,Maltese,Total,0
2020,Total,Both sexes,Maltese,Total,3
2021,Total,Both sexes,Maltese,Total,0
2022,Total,Both sexes,Maltese,Total,0
2023,Total,Both sexes,Maltese,Total,0
2019,Total,Both sexes,Other EU,Total,0
2020,Total,Both sexes,Other EU,Total,2
2021,Total,Both sexes,Other EU,Total,0
2022,Total,Both sexes,Other EU,Total,2
2023,Total,Both sexes,Other EU,Total,1
2019,Total,Both sexes,Non-EU,Total,9
2020,Total,Both sexes,Non-EU,Total,7
2021,Total,Both sexes,Non-EU,Total,4
2022,Total,Both sexes,Non-EU,Total,20
2023,Total,Both sexes,Non-EU,Total,5
2019,Total,Both sexes,Total,Forced labour,8
2020,Total,Both sexes,Total,Forced labour,6
2021,Total,Both sexes,Total,Forced labour,2
2022,Total,Both sexes,Total,Forced labour,11
2023,Total,Both sexes,Total,Forced labour,0
2019,Total,Both sexes,Total,Sexual exploitation,1
2020,Total,Both sexes,Total,Sexual exploitation,7
2021,Total,Both sexes,Total,Sexual exploitation,2
2022,Total,Both sexes,Total,Sexual exploitation,12
2023,Total,Both sexes,Total,Sexual exploitation,6
2019,Total,Both sexes,Total,Other forms,0
2020,Total,Both sexes,Total,Other forms,3
2021,Total,Both sexes,Total,Other forms,1
2022,Total,Both sexes,Total,Other forms,2
2023,Total,Both sexes,Total,Other forms,0
