Year,Series,Age,Sex,Type of Occupation,Court Level,Units,Value
2021,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.02
2021,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.27
2022,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.02
2022,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.27
2023,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1
2023,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.58
2024,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1
2024,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.58
2025,1. Proportion of positions in parliament compared to national distributions,<=45Y,Both Sexes,,,Ratio,1.04
2025,1. Proportion of positions in parliament compared to national distributions,Total,Females,,,Ratio,0.58
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.42
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.44
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.45
2025,2. Proportion of positions in the public service compared to national distributions,Total,Females,Clerical Support Workers,,Ratio,1.46
2022,2. Proportion of positions in the public service compared to national distributions,Total,Males,Clerical Support Workers,,Ratio,0.58
2023,2. Proportion of positions in the public service compared to national distributions,Total,Males,Clerical Support Workers,,Ratio,0.56
2024,2. Proportion of positions in the public service compared to national distributions,Total,Males,Clerical Support Workers,,Ratio,0.55
2025,2. Proportion of positions in the public service compared to national distributions,Total,Males,Clerical Support Workers,,Ratio,0.54
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,0.98
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,0.98
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,0.99
2025,2. Proportion of positions in the public service compared to national distributions,Total,Females,Managers,,Ratio,1.00
2022,2. Proportion of positions in the public service compared to national distributions,Total,Males,Managers,,Ratio,1.02
2023,2. Proportion of positions in the public service compared to national distributions,Total,Males,Managers,,Ratio,1.02
2024,2. Proportion of positions in the public service compared to national distributions,Total,Males,Managers,,Ratio,1.01
2025,2. Proportion of positions in the public service compared to national distributions,Total,Males,Managers,,Ratio,1.00
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.38
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.38
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.39
2025,2. Proportion of positions in the public service compared to national distributions,Total,Females,Professionals,,Ratio,1.39
2022,2. Proportion of positions in the public service compared to national distributions,Total,Males,Professionals,,Ratio,0.62
2023,2. Proportion of positions in the public service compared to national distributions,Total,Males,Professionals,,Ratio,0.62
2024,2. Proportion of positions in the public service compared to national distributions,Total,Males,Professionals,,Ratio,0.61
2025,2. Proportion of positions in the public service compared to national distributions,Total,Males,Professionals,,Ratio,0.61
2022,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.07
2023,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.08
2024,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.10
2025,2. Proportion of positions in the public service compared to national distributions,Total,Females,Technicians and Associate Professionals,,Ratio,1.10
2022,2. Proportion of positions in the public service compared to national distributions,Total,Males,Technicians and Associate Professionals,,Ratio,0.93
2023,2. Proportion of positions in the public service compared to national distributions,Total,Males,Technicians and Associate Professionals,,Ratio,0.92
2024,2. Proportion of positions in the public service compared to national distributions,Total,Males,Technicians and Associate Professionals,,Ratio,0.90
