Year,Series,Product,Value
2010,"Average tariff applied by developed countries, most-favored nation status",Total,2.38
2010,"Average tariff applied by developed countries, preferential status",Total,1.56
2010,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.59
2010,"Average tariff applied by developed countries, preferential status",Textiles,5.92
2010,"Average tariff applied by developed countries, most-favored nation status",Oil,0.00
2010,"Average tariff applied by developed countries, preferential status",Oil,0.00
2010,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.94
2010,"Average tariff applied by developed countries, preferential status",Industrial products,1.11
2010,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.95
2010,"Average tariff applied by developed countries, preferential status",Clothing,7.05
2010,"Average tariff applied by developed countries, most-favored nation status",Arms,3.09
2010,"Average tariff applied by developed countries, preferential status",Arms,2.73
2010,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.24
2010,"Average tariff applied by developed countries, preferential status",Agricultural products,4.12
2011,"Average tariff applied by developed countries, most-favored nation status",Total,2.38
2011,"Average tariff applied by developed countries, preferential status",Total,1.56
2011,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.58
2011,"Average tariff applied by developed countries, preferential status",Textiles,5.91
2011,"Average tariff applied by developed countries, most-favored nation status",Oil,0.00
2011,"Average tariff applied by developed countries, preferential status",Oil,0.00
2011,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.94
2011,"Average tariff applied by developed countries, preferential status",Industrial products,1.10
2011,"Average tariff applied by developed countries, most-favored nation status",Clothing,10.94
2011,"Average tariff applied by developed countries, preferential status",Clothing,7.04
2011,"Average tariff applied by developed countries, most-favored nation status",Arms,3.09
2011,"Average tariff applied by developed countries, preferential status",Arms,2.73
2011,"Average tariff applied by developed countries, most-favored nation status",Agricultural products,6.23
2011,"Average tariff applied by developed countries, preferential status",Agricultural products,4.12
2012,"Average tariff applied by developed countries, most-favored nation status",Total,2.24
2012,"Average tariff applied by developed countries, preferential status",Total,1.53
2012,"Average tariff applied by developed countries, most-favored nation status",Textiles,7.09
2012,"Average tariff applied by developed countries, preferential status",Textiles,5.43
2012,"Average tariff applied by developed countries, most-favored nation status",Oil,0.00
2012,"Average tariff applied by developed countries, preferential status",Oil,0.00
2012,"Average tariff applied by developed countries, most-favored nation status",Industrial products,1.76
2012,"Average tariff applied by developed countries, preferential status",Industrial products,1.14
