Year,Series,Sex,Value
2010,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,333.8
2010,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,330.9
2010,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Female,277.9
2013,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Female,331.9
2013,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,266.1
2013,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,264.1
2016,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,248.2
2016,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Female,209.2
2016,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,246.6
2020,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,370.9
2020,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,359.3
2020,Productivity of large-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Female,150.4
2010,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Female,47.3
2010,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,52.8
2010,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,53.3
2013,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,56.5
2013,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,59.8
2016,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,46.3
2016,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,46.5
2020,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Total,65.7
2020,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Female,55.2
2020,Productivity of small-scale food producers (agricultural output per labour day PPP) (constant 2017 international $),Male,66.6

