Year,Series,Sex,Age,Value
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,100
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1312
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,405
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,62
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,677
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,172
2010,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,886
2010,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,51
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,110
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,635
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,49
2010,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,481
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,172
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,415
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,77
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,87
2015,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,675
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,200
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1268
2015,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,934
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,84
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,520
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,593
2015,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,123
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,230
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1007
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,1353
2019,Number of deaths attributed to non-communicable diseases (number),All Sexes,All Ages,195
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,139
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,700
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,556
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,91
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,106
2019,Number of deaths attributed to non-communicable diseases (number),Female,All Ages,451
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,653
2019,Number of deaths attributed to non-communicable diseases (number),Male,All Ages,89
2010,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),All Sexes,30-70,11.8
2010,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Female,30-70,8.8
2010,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Male,30-70,14.8
2015,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Female,30-70,8.1
2015,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Male,30-70,13.4
2015,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),All Sexes,30-70,10.7
2019,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Female,30-70,8.2
2019,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),Male,30-70,12.9
2019,Mortality rate attributed to cardiovascular disease or cancer or diabetes or chronic respiratory disease (probability),All Sexes,30-70,10.5
