Year,Series,Substance,Sex,Value
2014,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,64.68
2015,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,64.11
2016,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,67.9
2017,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,70.67
2018,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,71.15
2019,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,80.55
2020,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,94.2
2021,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,57.57
2022,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,52.11
2023,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,38.48
2024,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,44.45
2022,Coverage of treatment interventions for daily users suffering from substance use disorders,Cocaine,Both Sexes,21.3
2023,Coverage of treatment interventions for daily users suffering from substance use disorders,Cocaine,Both Sexes,18.97
2024,Coverage of treatment interventions for daily users suffering from substance use disorders,Cocaine,Both Sexes,20.76
2014,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1044
2015,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1095
2016,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1081
2017,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1007
2018,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,826
2019,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,845
2020,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,844
2021,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,825
2022,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,716
2023,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,800
2024,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,693
2014,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,189
2015,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,206
2016,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,208
2017,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,185
2018,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,157
2019,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,159
2020,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,158
2021,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,163
2022,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,135
2023,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,155
2024,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,120
2014,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,855
2015,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,889
2016,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,873
2017,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,822
2018,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,669
2019,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,686
2020,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,686
2021,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,662
2022,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,581
2023,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,645
2024,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,573
2022,Number of persons in treatment for drug use disorders (DUD),Cocaine,Both Sexes,312
2023,Number of persons in treatment for drug use disorders (DUD),Cocaine,Both Sexes,385
2024,Number of persons in treatment for drug use disorders (DUD),Cocaine,Both Sexes,391
2022,Number of persons in treatment for drug use disorders (DUD),Cocaine,Females,70
2023,Number of persons in treatment for drug use disorders (DUD),Cocaine,Females,77
2024,Number of persons in treatment for drug use disorders (DUD),Cocaine,Females,79
2022,Number of persons in treatment for drug use disorders (DUD),Cocaine,Males,242
2023,Number of persons in treatment for drug use disorders (DUD),Cocaine,Males,308
2024,Number of persons in treatment for drug use disorders (DUD),Cocaine,Males,312
