Year,Series,Sex,Frequency,Age,Method used,Value
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,,,13.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,,,6.2
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,,,9.7
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,,,5.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,,,65.3
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Always,,,14.5
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Frequently,,,5.9
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Sometimes,,,9
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Rarely,,,4.2
2008,Frequency of contraception use in the past 12 months among the sexually active population,Females,Never,,,66.4
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Always,,,12.2
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Frequently,,,6.5
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Sometimes,,,10.6
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Rarely,,,6.7
2008,Frequency of contraception use in the past 12 months among the sexually active population,Males,Never,,,64.1
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,,,16.5
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,,,8.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,,,9.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,,,6
2014,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,,,59.9
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Always,,,17.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Frequently,,,8.4
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Sometimes,,,8.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Rarely,,,5.5
2014,Frequency of contraception use in the past 12 months among the sexually active population,Females,Never,,,59.5
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Always,,,15.3
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Frequently,,,8.1
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Sometimes,,,9.8
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Rarely,,,6.4
2014,Frequency of contraception use in the past 12 months among the sexually active population,Males,Never,,,60.4
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Always,,,20.9
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Frequently,,,11.3
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Sometimes,,,8.6
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Rarely,,,6.1
2019,Frequency of contraception use in the past 12 months among the sexually active population,Both Sexes,Never,,,53.1
