Year,Series,Value
2010,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.53
2011,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.00
2012,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.28
2013,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.29
2014,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.00
2015,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.30
2016,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.31
2017,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.30
2018,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.10
2019,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.10
2020,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.10
2021,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.00
2022,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.00
2023,"Adolescent birth rate (per 1,000 women aged 10-14 years)",0.09
2010,"Adolescent birth rate (per 1,000 women aged 15-19 years)",18.94
2011,"Adolescent birth rate (per 1,000 women aged 15-19 years)",17.07
2012,"Adolescent birth rate (per 1,000 women aged 15-19 years)",16.71
2013,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.33
2014,"Adolescent birth rate (per 1,000 women aged 15-19 years)",12.82
2015,"Adolescent birth rate (per 1,000 women aged 15-19 years)",11.22
2016,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.23
2017,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.02
2018,"Adolescent birth rate (per 1,000 women aged 15-19 years)",12.91
2019,"Adolescent birth rate (per 1,000 women aged 15-19 years)",13.08
2020,"Adolescent birth rate (per 1,000 women aged 15-19 years)",12.59
2021,"Adolescent birth rate (per 1,000 women aged 15-19 years)",11.41
2022,"Adolescent birth rate (per 1,000 women aged 15-19 years)",10.00
2023,"Adolescent birth rate (per 1,000 women aged 15-19 years)",9.79
