Year,Series,Value
2010,3 doses of diphtheria-tetanus-pertussis (DTP3),76
2011,3 doses of diphtheria-tetanus-pertussis (DTP3),96
2012,3 doses of diphtheria-tetanus-pertussis (DTP3),99
2013,3 doses of diphtheria-tetanus-pertussis (DTP3),99
2014,3 doses of diphtheria-tetanus-pertussis (DTP3),99
2015,3 doses of diphtheria-tetanus-pertussis (DTP3),97
2016,3 doses of diphtheria-tetanus-pertussis (DTP3),97
2017,3 doses of diphtheria-tetanus-pertussis (DTP3),98
2018,3 doses of diphtheria-tetanus-pertussis (DTP3),97
2019,3 doses of diphtheria-tetanus-pertussis (DTP3),98
2020,3 doses of diphtheria-tetanus-pertussis (DTP3),98
2021,3 doses of diphtheria-tetanus-pertussis (DTP3),99
2013,Human papillomavirus (HPV),28
2014,Human papillomavirus (HPV),87
2015,Human papillomavirus (HPV),88
2016,Human papillomavirus (HPV),83
2017,Human papillomavirus (HPV),78
2018,Human papillomavirus (HPV),80
2019,Human papillomavirus (HPV),81
2020,Human papillomavirus (HPV),85
2021,Human papillomavirus (HPV),99
2010,Measles-containing-vaccine second-dose (MCV2),85
2011,Measles-containing-vaccine second-dose (MCV2),85
2012,Measles-containing-vaccine second-dose (MCV2),91
2013,Measles-containing-vaccine second-dose (MCV2),88
2014,Measles-containing-vaccine second-dose (MCV2),94
2015,Measles-containing-vaccine second-dose (MCV2),91
2016,Measles-containing-vaccine second-dose (MCV2),86
2017,Measles-containing-vaccine second-dose (MCV2),83
2018,Measles-containing-vaccine second-dose (MCV2),95
2019,Measles-containing-vaccine second-dose (MCV2),95
2020,Measles-containing-vaccine second-dose (MCV2),99
2021,Measles-containing-vaccine second-dose (MCV2),93
2021,Pneumococcal conjugate 3rd dose (PCV3),99
