Year,Sex,Education level,Minimum proficiency,Value
2011,All Sexes,Primary,Mathematics,78.2
2011,Female,Primary,Mathematics,62.3
2011,Male,Primary,Mathematics,63.9
2015,All Sexes,Lower Secondary,Mathematics,70.9
2018,All Sexes,Lower Secondary,Mathematics,69.8
2019,All Sexes,Primary,Mathematics,69.1
2019,Female,Primary,Mathematics,68
2019,Male,Primary,Mathematics,70.1
2022,All Sexes,Lower Secondary,Mathematics,67.4
2022,Female,Lower Secondary,Mathematics,69.5
2022,Male,Lower Secondary,Mathematics,65.4
2011,All Sexes,Primary,Reading,63.1
2011,Female,Primary,Reading,81.6
2011,Male,Primary,Reading,75.4
2015,All Sexes,Lower Secondary,Reading,64.4
2015,Female,Lower Secondary,Reading,72.1
2015,Male,Lower Secondary,Reading,57
2016,All Sexes,Primary,Reading,73.2
2016,Female,Primary,Reading,77.8
2016,Male,Primary,Reading,69.1
2018,All Sexes,Lower Secondary,Reading,64.1
2018,Female,Lower Secondary,Reading,74
2018,Male,Lower Secondary,Reading,55.1
2021,All Sexes,Primary,Reading,90.24
2021,Female,Primary,Reading,91
2021,Male,Primary,Reading,89.6
2022,All Sexes,Lower Secondary,Reading,63.7
2022,Female,Lower Secondary,Reading,71
2022,Male,Lower Secondary,Reading,56.8
