Year,Sex,Education Level,Value
2010,All Sexes,Primary,100
2010,All Sexes,Lower Secondary,100
2010,All Sexes,Upper Secondary,62
2010,Female,Primary,100
2010,Female,Lower Secondary,100
2010,Female,Upper Secondary,68
2010,Male,Primary,100
2010,Male,Lower Secondary,100
2010,Male,Upper Secondary,56
2011,All Sexes,Primary,100
2011,All Sexes,Lower Secondary,100
2011,All Sexes,Upper Secondary,64
2011,Female,Primary,100
2011,Female,Lower Secondary,100
2011,Female,Upper Secondary,70
2011,Male,Primary,100
2011,Male,Lower Secondary,100
2011,Male,Upper Secondary,57
2012,All Sexes,Primary,100
2012,All Sexes,Lower Secondary,100
2012,All Sexes,Upper Secondary,66
2012,Female,Primary,100
2012,Female,Lower Secondary,100
2012,Female,Upper Secondary,72
2012,Male,Primary,100
2012,Male,Lower Secondary,100
2012,Male,Upper Secondary,59
2013,All Sexes,Primary,100
2013,All Sexes,Lower Secondary,100
2013,All Sexes,Upper Secondary,68
2013,Female,Primary,100
2013,Female,Lower Secondary,100
2013,Female,Upper Secondary,74
2013,Male,Primary,100
2013,Male,Lower Secondary,100
2013,Male,Upper Secondary,60
2014,All Sexes,Primary,100
2014,All Sexes,Lower Secondary,100
2014,All Sexes,Upper Secondary,69
2014,Female,Primary,100
2014,Female,Lower Secondary,100
2014,Female,Upper Secondary,76
2014,Male,Primary,100
2014,Male,Lower Secondary,100
2014,Male,Upper Secondary,61
2015,All Sexes,Primary,100
2015,All Sexes,Lower Secondary,100
2015,All Sexes,Upper Secondary,71
2015,Female,Primary,100
2015,Female,Lower Secondary,100
2015,Female,Upper Secondary,77
2015,Male,Primary,100
2015,Male,Lower Secondary,100
2015,Male,Upper Secondary,62
2016,All Sexes,Primary,100
2016,All Sexes,Lower Secondary,100
2016,All Sexes,Upper Secondary,72
2016,Female,Primary,100
2016,Female,Lower Secondary,100
2016,Female,Upper Secondary,79
2016,Male,Primary,100
2016,Male,Lower Secondary,100
2016,Male,Upper Secondary,63
2017,All Sexes,Primary,100
2017,All Sexes,Lower Secondary,100
2017,All Sexes,Upper Secondary,73
2017,Female,Primary,100
2017,Female,Lower Secondary,100
2017,Female,Upper Secondary,80
2017,Male,Primary,100
2017,Male,Lower Secondary,100
2017,Male,Upper Secondary,64
2018,All Sexes,Primary,100
2018,All Sexes,Lower Secondary,100
2018,All Sexes,Upper Secondary,75
2018,Female,Primary,100
2018,Female,Lower Secondary,100
2018,Female,Upper Secondary,81
2018,Male,Primary,100
2018,Male,Lower Secondary,100
2018,Male,Upper Secondary,65
2019,All Sexes,Lower Secondary,97.8
2019,Female,Lower Secondary,97.8
2019,Male,Lower Secondary,97.8
2019,All Sexes,Primary,98
2019,Female,Primary,97.9
2019,Male,Primary,98.1
2019,All Sexes,Upper Secondary,77.9
2019,Female,Upper Secondary,83.6
2019,Male,Upper Secondary,73
2020,All Sexes,Lower Secondary,97.9
2020,Female,Lower Secondary,97.9
2020,Male,Lower Secondary,97.8
2020,All Sexes,Primary,98
2020,Female,Primary,97.9
2020,Male,Primary,98.1
2020,All Sexes,Upper Secondary,78.9
2020,Female,Upper Secondary,84.7
2020,Male,Upper Secondary,73.8
2021,All Sexes,Lower Secondary,97.9
2021,Female,Lower Secondary,97.9
2021,Male,Lower Secondary,97.9
2021,All Sexes,Primary,98.1
2021,Female,Primary,98
2021,Male,Primary,98.1
2021,All Sexes,Upper Secondary,80
2021,Female,Upper Secondary,85.8
2021,Male,Upper Secondary,74.8
2022,All Sexes,Lower Secondary,98
2022,Female,Lower Secondary,98
2022,Male,Lower Secondary,97.9
2022,All Sexes,Primary,98.1
2022,Female,Primary,98
2022,Male,Primary,98.2
2022,All Sexes,Upper Secondary,81.1
2022,Female,Upper Secondary,87
2022,Male,Upper Secondary,75.7
2023,All Sexes,Lower Secondary,98
2023,Female,Lower Secondary,98
2023,Male,Lower Secondary,98
2023,All Sexes,Primary,98.1
2023,Female,Primary,98
2023,Male,Primary,98.2
2023,All Sexes,Upper Secondary,82.2
2023,Female,Upper Secondary,88.1
2023,Male,Upper Secondary,76.8
