Year,Sex,Age,Value
2010,Total,15-24,55.2
2010,Total,15-64,15.8
2010,Total,25-54,7.3
2010,Total,55-64,3
2010,Female,15-24,56.5
2010,Female,15-64,16.1
2010,Female,25-54,7.5
2010,Female,55-64,3.4
2010,Male,15-24,53.9
2010,Male,15-64,15.5
2010,Male,25-54,7.1
2010,Male,55-64,2.6
2011,Total,15-24,54.3
2011,Total,15-64,15.9
2011,Total,25-54,7.9
2011,Total,55-64,3
2011,Female,15-24,58.2
2011,Female,15-64,16.9
2011,Female,25-54,8.3
2011,Female,55-64,3.7
2011,Male,15-24,50.6
2011,Male,15-64,14.9
2011,Male,25-54,7.5
2011,Male,55-64,2.3
2012,Total,15-24,55.7
2012,Total,15-64,16.5
2012,Total,25-54,8.7
2012,Total,55-64,2.8
2012,Female,15-24,59.8
2012,Female,15-64,17.5
2012,Female,25-54,9
2012,Female,55-64,3.4
2012,Male,15-24,51.7
2012,Male,15-64,15.5
2012,Male,25-54,8.3
2012,Male,55-64,2.3
2013,Total,15-24,55.1
2013,Total,15-64,16.7
2013,Total,25-54,9.1
2013,Total,55-64,3.6
2013,Female,15-24,57.7
2013,Female,15-64,17.4
2013,Female,25-54,9.5
2013,Female,55-64,3.8
2013,Male,15-24,52.6
2013,Male,15-64,16.1
2013,Male,25-54,8.7
2013,Male,55-64,3.3
2014,Total,15-24,54.8
2014,Total,15-64,16.5
2014,Total,25-54,9.1
2014,Total,55-64,3.4
2014,Female,15-24,54.7
2014,Female,15-64,16.8
2014,Female,25-54,9.5
2014,Female,55-64,4.1
2014,Male,15-24,54.8
2014,Male,15-64,16.3
2014,Male,25-54,8.8
2014,Male,55-64,2.7
2015,Total,15-24,53.6
2015,Total,15-64,15.8
2015,Total,25-54,8.7
2015,Total,55-64,3.3
2015,Female,15-24,54.5
2015,Female,15-64,16.3
2015,Female,25-54,9.3
2015,Female,55-64,3.6
2015,Male,15-24,52.7
2015,Male,15-64,15.4
2015,Male,25-54,8.1
2015,Male,55-64,3.1
2016,Total,15-24,55.7
2016,Total,15-64,16.3
2016,Total,25-54,9.2
2016,Total,55-64,3.6
2016,Female,15-24,58.4
2016,Female,15-64,17.4
2016,Female,25-54,10.1
2016,Female,55-64,4.3
2016,Male,15-24,53.2
2016,Male,15-64,15.3
2016,Male,25-54,8.3
2016,Male,55-64,2.9
2017,Total,15-24,57.6
2017,Total,15-64,18.6
2017,Total,25-54,12.4
2017,Total,55-64,4.8
2017,Female,15-24,59.9
2017,Female,15-64,20
2017,Female,25-54,14.1
2017,Female,55-64,4.9
2017,Male,15-24,55.4
2017,Male,15-64,17.4
2017,Male,25-54,10.9
2017,Male,55-64,4.6
2018,Total,15-24,58
2018,Total,15-64,18.6
2018,Total,25-54,12.8
2018,Total,55-64,4.1
2018,Female,15-24,58.5
2018,Female,15-64,20
2018,Female,25-54,14.7
2018,Female,55-64,4.9
2018,Male,15-24,57.5
2018,Male,15-64,17.3
2018,Male,25-54,11.1
2018,Male,55-64,3.3
2019,Total,15-24,57.3
2019,Total,15-64,19.1
2019,Total,25-54,13.7
2019,Total,55-64,5.6
2019,Female,15-24,58.7
2019,Female,15-64,20.6
2019,Female,25-54,15.2
2019,Female,55-64,6.9
2019,Male,15-24,56
2019,Male,15-64,17.7
2019,Male,25-54,12.3
2019,Male,55-64,4.4
2020,Total,15-24,59.7
2020,Total,15-64,18.4
2020,Total,25-54,12.4
2020,Total,55-64,5.7
2020,Female,15-24,62.8
2020,Female,15-64,20.3
2020,Female,25-54,14.4
2020,Female,55-64,6.2
2020,Male,15-24,57
2020,Male,15-64,16.7
2020,Male,25-54,10.7
2020,Male,55-64,5.2
