Year,Series,Education level,Age,Value
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.2
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.2
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2019,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2019,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2019,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2020,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2020,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2020,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2021,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2021,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2021,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2022,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2022,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2022,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2023,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,,1
2023,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,,1
2023,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,,1.1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.1
2010,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.2
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.4
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.1
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1.1
2011,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.1
2012,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.3
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.1
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.1
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1.1
2013,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1.1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.1
2014,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.3
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.2
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.1
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1.1
2015,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-24,1.1
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1.1
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.2
2016,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.3
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,55-64,1.1
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,25-54,1.2
2017,Adjusted gender parity index for participation rate in formal and non-formal education and training (ratio),,15-64,1.1
