Year,Series,Activity,Value
2010,Water Use Efficiency (US dollars per cubic metre),Industries,1316.64
2011,Water Use Efficiency (US dollars per cubic metre),Industries,1320.01
2012,Water Use Efficiency (US dollars per cubic metre),Industries,1325.95
2013,Water Use Efficiency (US dollars per cubic metre),Industries,1267.97
2014,Water Use Efficiency (US dollars per cubic metre),Industries,1216.34
2015,Water Use Efficiency (US dollars per cubic metre),Industries,1196.17
2016,Water Use Efficiency (US dollars per cubic metre),Industries,1223.64
2017,Water Use Efficiency (US dollars per cubic metre),Industries,1340.06
2018,Water Use Efficiency (US dollars per cubic metre),Industries,1437.7
2019,Water Use Efficiency (US dollars per cubic metre),Industries,1587.86
2020,Water Use Efficiency (US dollars per cubic metre),Industries,1567.03
2021,Water Use Efficiency (US dollars per cubic metre),Industries,1722.75
2022,Water Use Efficiency (US dollars per cubic metre),Industries,1787.74
2023,Water Use Efficiency (US dollars per cubic metre),Industries,1849.34
2010,Water Use Efficiency (US dollars per cubic metre),Agriculture,2.31
2011,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.9
2012,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.91
2013,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.68
2014,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.82
2015,Water Use Efficiency (US dollars per cubic metre),Agriculture,2.09
2016,Water Use Efficiency (US dollars per cubic metre),Agriculture,2.21
2017,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.52
2018,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.66
2019,Water Use Efficiency (US dollars per cubic metre),Agriculture,1.45
2020,Water Use Efficiency (US dollars per cubic metre),Agriculture,2.35
2021,Water Use Efficiency (US dollars per cubic metre),Agriculture,3.34
2022,Water Use Efficiency (US dollars per cubic metre),Agriculture,3.42
2023,Water Use Efficiency (US dollars per cubic metre),Agriculture,3.42
2010,Water Use Efficiency (US dollars per cubic metre),Services,316.42
2011,Water Use Efficiency (US dollars per cubic metre),Services,362.65
2012,Water Use Efficiency (US dollars per cubic metre),Services,444.89
2013,Water Use Efficiency (US dollars per cubic metre),Services,463.81
2014,Water Use Efficiency (US dollars per cubic metre),Services,224.58
2015,Water Use Efficiency (US dollars per cubic metre),Services,246.1
2016,Water Use Efficiency (US dollars per cubic metre),Services,248.71
2017,Water Use Efficiency (US dollars per cubic metre),Services,281.31
2018,Water Use Efficiency (US dollars per cubic metre),Services,297.1
2019,Water Use Efficiency (US dollars per cubic metre),Services,297.52
2020,Water Use Efficiency (US dollars per cubic metre),Services,298.14
2021,Water Use Efficiency (US dollars per cubic metre),Services,342.94
2022,Water Use Efficiency (US dollars per cubic metre),Services,347.73
2023,Water Use Efficiency (US dollars per cubic metre),Services,361.65
2010,Water Use Efficiency (US dollars per cubic metre),Total,189.38
2011,Water Use Efficiency (US dollars per cubic metre),Total,190.12
2012,Water Use Efficiency (US dollars per cubic metre),Total,199.41
2013,Water Use Efficiency (US dollars per cubic metre),Total,185.72
2014,Water Use Efficiency (US dollars per cubic metre),Total,141.44
2015,Water Use Efficiency (US dollars per cubic metre),Total,161.19
2016,Water Use Efficiency (US dollars per cubic metre),Total,164.14
2017,Water Use Efficiency (US dollars per cubic metre),Total,178.65
2018,Water Use Efficiency (US dollars per cubic metre),Total,197.57
