Year,Series,Source,Value
2010,Renewable energy share in the total final energy consumption,,1.2
2011,Renewable energy share in the total final energy consumption,,2
2012,Renewable energy share in the total final energy consumption,,2.7
2013,Renewable energy share in the total final energy consumption,,3.2
2014,Renewable energy share in the total final energy consumption,,4.5
2015,Renewable energy share in the total final energy consumption,,6
2016,Renewable energy share in the total final energy consumption,,9.2
2017,Renewable energy share in the total final energy consumption,,7.3
2018,Renewable energy share in the total final energy consumption,,7.6
2019,Renewable energy share in the total final energy consumption,,7.4
2020,Renewable energy share in the total final energy consumption,,9.2
2021,Renewable energy share in the total final energy consumption,,8.6
2017,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),58.06
2018,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),67.64
2019,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),68.22
2020,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),73.63
2021,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),71.01
2022,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),67.50
2023,"Percentage shares of total electricity supply in Malta, by source",Power Plants (excl. own use),67.76
2017,"Percentage shares of total electricity supply in Malta, by source",Renewables,6.98
2018,"Percentage shares of total electricity supply in Malta, by source",Renewables,7.86
2019,"Percentage shares of total electricity supply in Malta, by source",Renewables,7.65
2020,"Percentage shares of total electricity supply in Malta, by source",Renewables,9.73
2021,"Percentage shares of total electricity supply in Malta, by source",Renewables,9.85
2022,"Percentage shares of total electricity supply in Malta, by source",Renewables,10.30
2023,"Percentage shares of total electricity supply in Malta, by source",Renewables,10.92
2017,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),34.96
2018,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),24.51
2019,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),24.13
2020,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),16.65
2021,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),19.14
2022,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),22.19
2023,"Percentage shares of total electricity supply in Malta, by source",Net imports (imports - exports),21.32
2017,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,67.00
2018,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,65.00
2019,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,72.00
2020,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,60.00
2021,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,68.04
2022,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,73.39
2023,"Percentage shares of total electricity imported via the Interconnector, by source",Fossil fuels,61.98
2017,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,21.00
2018,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,20.00
2019,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,14.00
2020,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,17.00
2021,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,12.94
2022,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,12.22
2023,"Percentage shares of total electricity imported via the Interconnector, by source",Coal,22.77
2017,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,5.00
2018,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,6.00
2019,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,6.00
2020,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,11.00
2021,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,6.42
2022,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,2.62
2023,"Percentage shares of total electricity imported via the Interconnector, by source",Nucelar power ,4.40
2017,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,2.00
2018,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,4.00
2019,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,3.00
2020,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,10.00
2021,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,10.81
2022,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,9.04
2023,"Percentage shares of total electricity imported via the Interconnector, by source",Renewable sources,7.28
2017,"Percentage shares of total electricity imported via the Interconnector, by source",Others,5.00
2018,"Percentage shares of total electricity imported via the Interconnector, by source",Others,5.00
2019,"Percentage shares of total electricity imported via the Interconnector, by source",Others,5.00
2020,"Percentage shares of total electricity imported via the Interconnector, by source",Others,2.00
2021,"Percentage shares of total electricity imported via the Interconnector, by source",Others,1.79
2022,"Percentage shares of total electricity imported via the Interconnector, by source",Others,2.73
2023,"Percentage shares of total electricity imported via the Interconnector, by source",Others,3.57
2018,Percentage shares of power plants' (excl. own use) sources,Oil,0.57
2019,Percentage shares of power plants' (excl. own use) sources,Oil,1.24
2020,Percentage shares of power plants' (excl. own use) sources,Oil,2.81
2021,Percentage shares of power plants' (excl. own use) sources,Oil,2.27
2022,Percentage shares of power plants' (excl. own use) sources,Oil,2.89
2023,Percentage shares of power plants' (excl. own use) sources,Oil,0.83
2018,Percentage shares of power plants' (excl. own use) sources,Natural Gas,99.43
2019,Percentage shares of power plants' (excl. own use) sources,Natural Gas,98.76
2020,Percentage shares of power plants' (excl. own use) sources,Natural Gas,97.19
2021,Percentage shares of power plants' (excl. own use) sources,Natural Gas,97.73
2022,Percentage shares of power plants' (excl. own use) sources,Natural Gas,97.11
2023,Percentage shares of power plants' (excl. own use) sources,Natural Gas,99.17
