Year,Series,Age,Units,Sex,Value
2010,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,6.9
2011,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,6.4
2012,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,6.2
2013,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,6.1
2014,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,5.7
2015,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,5.4
2016,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,4.7
2017,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,4
2018,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,4
2019,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,4.1
2020,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,4.9
2021,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,3.8
2022,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,3.5
2023,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,3.5
2024,"1. Unemployment rate, by sex and age",15-74,Percentage (%),All Sexes,3.1
2010,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,13.2
2011,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,13.3
2012,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,13.8
2013,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,12.7
2014,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,11.7
2015,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,11.6
2016,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,10.7
2017,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,10.6
2018,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,9.4
2019,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,10.1
2020,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,11.5
2021,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,9.9
2022,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,9
2023,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,9.2
2024,"1. Unemployment rate, by sex and age",15-24,Percentage (%),All Sexes,9.1
2010,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,5.6
2011,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,5
2012,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,4.8
2013,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,4.9
2014,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,4.7
2015,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,4.4
2016,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,3.8
2017,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,3.1
2018,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,3.2
2019,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,3.3
2020,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,4.1
2021,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,3.1
2022,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,2.9
2023,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,2.9
2024,"1. Unemployment rate, by sex and age",25-74,Percentage (%),All Sexes,2.5
2010,2. Employment rate by sex,,Percentage of total population,All Sexes,60.1
2011,2. Employment rate by sex,,Percentage of total population,All Sexes,61.6
2012,2. Employment rate by sex,,Percentage of total population,All Sexes,63.9
2013,2. Employment rate by sex,,Percentage of total population,All Sexes,66.2
2014,2. Employment rate by sex,,Percentage of total population,All Sexes,67.9
2015,2. Employment rate by sex,,Percentage of total population,All Sexes,69
2016,2. Employment rate by sex,,Percentage of total population,All Sexes,71.1
2017,2. Employment rate by sex,,Percentage of total population,All Sexes,73
2018,2. Employment rate by sex,,Percentage of total population,All Sexes,74.9
2019,2. Employment rate by sex,,Percentage of total population,All Sexes,75.6
2020,2. Employment rate by sex,,Percentage of total population,All Sexes,76
2021,2. Employment rate by sex,,Percentage of total population,All Sexes,77.8
2022,2. Employment rate by sex,,Percentage of total population,All Sexes,80.1
2023,2. Employment rate by sex,,Percentage of total population,All Sexes,81.3
2010,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,7.1
2011,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,7.1
2012,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,7.2
2013,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,6.1
2014,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,5.1
2015,"1. Unemployment rate, by sex and age",15-74,Percentage (%),Female,5.4
