Year,Gender,Value
2010,Total,21.2
2010,Female,22.4
2010,Male,20.1
2011,Total,22.1
2011,Female,23.2
2011,Male,20.9
2012,Total,23.1
2012,Female,24.3
2012,Male,21.9
2013,Total,24.6
2013,Female,25.5
2013,Male,23.8
2014,Total,23.9
2014,Female,24.7
2014,Male,23.1
2015,Total,23.0
2015,Female,23.8
2015,Male,22.2
2016,Total,20.3
2016,Female,20.4
2016,Male,20.2
2017,Total,19.3
2017,Female,20.2
2017,Male,18.5
2018,Total,19.0
2018,Female,20.6
2018,Male,17.4
2019,Total,20.1
2019,Female,21.4
2019,Male,18.8
2020,Total,19.0
2020,Female,20.5
2020,Male,17.6
