Year,Series,Location,Mobile Network,Value
2010,Proportion of population using basic drinking water services,Urban,,100.0
2010,Proportion of population using basic drinking water services,All Area,,100.0
2010,Proportion of population using basic drinking water services,Rural,,100.0
2011,Proportion of population using basic drinking water services,All Area,,100.0
2011,Proportion of population using basic drinking water services,Rural,,100.0
2011,Proportion of population using basic drinking water services,Urban,,100.0
2012,Proportion of population using basic drinking water services,Urban,,100.0
2012,Proportion of population using basic drinking water services,Rural,,100.0
2012,Proportion of population using basic drinking water services,All Area,,100.0
2013,Proportion of population using basic drinking water services,All Area,,100.0
2013,Proportion of population using basic drinking water services,Rural,,100.0
2013,Proportion of population using basic drinking water services,Urban,,100.0
2014,Proportion of population using basic drinking water services,All Area,,100.0
2014,Proportion of population using basic drinking water services,Urban,,100.0
2014,Proportion of population using basic drinking water services,Rural,,100.0
2015,Proportion of population using basic drinking water services,Rural,,100.0
2015,Proportion of population using basic drinking water services,All Area,,100.0
2015,Proportion of population using basic drinking water services,Urban,,100.0
2016,Proportion of population using basic drinking water services,Rural,,100.0
2016,Proportion of population using basic drinking water services,All Area,,100.0
2016,Proportion of population using basic drinking water services,Urban,,100.0
2017,Proportion of population using basic drinking water services,Urban,,100.0
2017,Proportion of population using basic drinking water services,Rural,,100.0
2017,Proportion of population using basic drinking water services,All Area,,100.0
2018,Proportion of population using basic drinking water services,Urban,,100.0
2018,Proportion of population using basic drinking water services,Rural,,100.0
2018,Proportion of population using basic drinking water services,All Area,,100.0
2019,Proportion of population using basic drinking water services,Urban,,100.0
2019,Proportion of population using basic drinking water services,Rural,,100.0
2019,Proportion of population using basic drinking water services,All Area,,100.0
2020,Proportion of population using basic drinking water services,Rural,,100.0
2020,Proportion of population using basic drinking water services,Urban,,100.0
2020,Proportion of population using basic drinking water services,All Area,,100.0
2021,Proportion of population using basic drinking water services,Rural,,100.0
2021,Proportion of population using basic drinking water services,All Area,,100.0
2021,Proportion of population using basic drinking water services,Urban,,100.0
2022,Proportion of population using basic drinking water services,Urban,,100.0
2022,Proportion of population using basic drinking water services,All Area,,100.0
2022,Proportion of population using basic drinking water services,Rural,,100.0
2000,Proportion of population using basic sanitation services,All Area,,99.96536
2000,Proportion of population using basic sanitation services,Rural,,100.0
2000,Proportion of population using basic sanitation services,Urban,,99.9625
2001,Proportion of population using basic sanitation services,All Area,,99.96526
2001,Proportion of population using basic sanitation services,Rural,,100.0
2001,Proportion of population using basic sanitation services,Urban,,99.9625
2002,Proportion of population using basic sanitation services,All Area,,99.96516
2002,Proportion of population using basic sanitation services,Urban,,99.9625
2002,Proportion of population using basic sanitation services,Rural,,100.0
2003,Proportion of population using basic sanitation services,All Area,,99.96506
2003,Proportion of population using basic sanitation services,Rural,,100.0
2003,Proportion of population using basic sanitation services,Urban,,99.9625
2004,Proportion of population using basic sanitation services,All Area,,99.96497
2004,Proportion of population using basic sanitation services,Rural,,100.0
2004,Proportion of population using basic sanitation services,Urban,,99.9625
2005,Proportion of population using basic sanitation services,All Area,,99.96488
2005,Proportion of population using basic sanitation services,Urban,,99.9625
2005,Proportion of population using basic sanitation services,Rural,,100.0
2006,Proportion of population using basic sanitation services,All Area,,99.96483
2006,Proportion of population using basic sanitation services,Rural,,100.0
2006,Proportion of population using basic sanitation services,Urban,,99.9625
2007,Proportion of population using basic sanitation services,Urban,,99.9625
2007,Proportion of population using basic sanitation services,All Area,,99.9648
2007,Proportion of population using basic sanitation services,Rural,,100.0
2008,Proportion of population using basic sanitation services,All Area,,99.96477
2008,Proportion of population using basic sanitation services,Rural,,100.0
2008,Proportion of population using basic sanitation services,Urban,,99.9625
2009,Proportion of population using basic sanitation services,Urban,,99.9625
2009,Proportion of population using basic sanitation services,Rural,,100.0
2009,Proportion of population using basic sanitation services,All Area,,99.96475
2010,Proportion of population using basic sanitation services,All Area,,99.96472
2010,Proportion of population using basic sanitation services,Urban,,99.9625
2010,Proportion of population using basic sanitation services,Rural,,100.0
2011,Proportion of population using basic sanitation services,Urban,,99.9625
2011,Proportion of population using basic sanitation services,All Area,,99.96469
2011,Proportion of population using basic sanitation services,Rural,,100.0
2012,Proportion of population using basic sanitation services,Rural,,100.0
2012,Proportion of population using basic sanitation services,All Area,,99.96467
2012,Proportion of population using basic sanitation services,Urban,,99.9625
2013,Proportion of population using basic sanitation services,All Area,,99.96464
