Year,Series,Substance,Sex,Value
2014,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,64.68
2015,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,64.11
2016,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,67.9
2017,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,70.67
2018,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,71.15
2019,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,80.55
2020,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,94.2
2021,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,57.57
2022,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,52.11
2023,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,38.48
2024,Coverage of treatment interventions for daily users suffering from substance use disorders,Opioids,Both Sexes,44.45
2022,Coverage of treatment interventions for daily users suffering from substance use disorders,Cocaine,Both Sexes,21.3
2023,Coverage of treatment interventions for daily users suffering from substance use disorders,Cocaine,Both Sexes,18.97
2024,Coverage of treatment interventions for daily users suffering from substance use disorders,Cocaine,Both Sexes,20.76
2014,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1044.0
2015,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1095.0
2016,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1081.0
2017,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,1007.0
2018,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,826.0
2019,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,845.0
2020,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,844.0
2021,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,825.0
2022,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,716.0
2023,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,800.0
2024,Number of persons in treatment for drug use disorders (DUD),Opioids,Both Sexes,693.0
2014,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,189.0
2015,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,206.0
2016,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,208.0
2017,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,185.0
2018,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,157.0
2019,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,159.0
2020,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,158.0
2021,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,163.0
2022,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,135.0
2023,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,155.0
2024,Number of persons in treatment for drug use disorders (DUD),Opioids,Females,120.0
2014,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,855.0
2015,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,889.0
2016,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,873.0
2017,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,822.0
2018,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,669.0
2019,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,686.0
2020,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,686.0
2021,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,662.0
2022,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,581.0
2023,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,645.0
2024,Number of persons in treatment for drug use disorders (DUD),Opioids,Males,573.0
2022,Number of persons in treatment for drug use disorders (DUD),Cocaine,Both Sexes,312.0
2023,Number of persons in treatment for drug use disorders (DUD),Cocaine,Both Sexes,385.0
2024,Number of persons in treatment for drug use disorders (DUD),Cocaine,Both Sexes,391.0
2022,Number of persons in treatment for drug use disorders (DUD),Cocaine,Females,70.0
2023,Number of persons in treatment for drug use disorders (DUD),Cocaine,Females,77.0
2024,Number of persons in treatment for drug use disorders (DUD),Cocaine,Females,79.0
2022,Number of persons in treatment for drug use disorders (DUD),Cocaine,Males,242.0
2023,Number of persons in treatment for drug use disorders (DUD),Cocaine,Males,308.0
2024,Number of persons in treatment for drug use disorders (DUD),Cocaine,Males,312.0
