Year,Series,Education level,Type of skill,Age,Value
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.2
2019,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2019,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2019,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.1
2020,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2020,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2020,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.1
2021,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2021,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2021,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.1
2022,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2022,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2022,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.1
2023,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Skills,All Ages,1.0
2023,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Skills,All Ages,1.0
2023,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Skills,All Ages,1.1
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Sending e-mails with attached files,All Ages,0.9
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,0.8
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,0.9
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.3
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,0.8
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,1.1
2010,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,0.8
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.8
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Copying or moving a file or folder,All Ages,0.9
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,0.9
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Sending e-mails with attached files,All Ages,0.9
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,0.8
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,0.8
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,0.9
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.3
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Connecting and installing new devices,All Ages,0.7
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,0.9
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.5
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.1
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.8
2011,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.0
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using basic arithmetic formula in a spreadsheet,All Ages,0.8
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Copying or moving a file or folder,All Ages,0.9
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using copy and paste tools to duplicate or move information within a document,All Ages,0.9
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",All Ages,0.8
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,1.0
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Connecting and installing new devices,All Ages,0.6
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,0.9
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Writing a computer program using a specialized programming language,All Ages,0.3
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Transferring files between a computer and other devices,All Ages,0.9
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Uploading self/user-created content to a website to be shared,All Ages,0.6
2012,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Telephoning over the Internet/VoIP,All Ages,1.0
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Reading or downloading on-line newspapers, magazines, or electronic books",All Ages,1.0
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Sending e-mails with attached files,All Ages,1.0
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Doing a formal online course,All Ages,0.9
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Getting information about goods or services online,All Ages,1.0
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Purchasing or ordering goods or services using the Internet,All Ages,0.9
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,"Seeking health information (on injury, disease, nutrition, etc.)",All Ages,1.3
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Using Internet banking,All Ages,0.9
2013,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",All Education Levels,Participating in social networks,All Ages,1.2
