Year,Series,Units,Value
2010,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5710.463
2011,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5656.532
2012,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,4928.618
2013,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5361.915
2014,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5098.261
2015,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,6218.748
2016,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5455.781
2017,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5044.929
2018,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,4845.347
2019,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5538.704
2020,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,5719.155
2021,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,4853.698
2022,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,6350.024
2023,Raw Material Consumption (Thousand Tonnes),Thousand Tonnes,6072.499
2010,Raw Material Consumption (Tonnes per capita),Tonnes per capita,13.776
2011,Raw Material Consumption (Tonnes per capita),Tonnes per capita,13.589
2012,Raw Material Consumption (Tonnes per capita),Tonnes per capita,11.734
2013,Raw Material Consumption (Tonnes per capita),Tonnes per capita,12.588
2014,Raw Material Consumption (Tonnes per capita),Tonnes per capita,11.732
2015,Raw Material Consumption (Tonnes per capita),Tonnes per capita,13.973
2016,Raw Material Consumption (Tonnes per capita),Tonnes per capita,11.981
2017,Raw Material Consumption (Tonnes per capita),Tonnes per capita,10.78
2018,Raw Material Consumption (Tonnes per capita),Tonnes per capita,9.998
2019,Raw Material Consumption (Tonnes per capita),Tonnes per capita,10.988
2020,Raw Material Consumption (Tonnes per capita),Tonnes per capita,11.098
2021,Raw Material Consumption (Tonnes per capita),Tonnes per capita,9.36
2022,Raw Material Consumption (Tonnes per capita),Tonnes per capita,11.947
2023,Raw Material Consumption (Tonnes per capita),Tonnes per capita,10.986
