Year,Series,Type of waste treatment,Units,Value
2010,"1. Electronic waste collected, per capita",,Kilograms,3.7
2011,"1. Electronic waste collected, per capita",,Kilograms,3.76
2012,"1. Electronic waste collected, per capita",,Kilograms,3.59
2013,"1. Electronic waste collected, per capita",,Kilograms,4
2014,"1. Electronic waste collected, per capita",,Kilograms,3.85
2015,"1. Electronic waste collected, per capita",,Kilograms,4.46
2016,"1. Electronic waste collected, per capita",,Kilograms,5.37
2017,"1. Electronic waste collected, per capita",,Kilograms,6.31
2018,"1. Electronic waste collected, per capita",,Kilograms,6.55
2019,"1. Electronic waste collected, per capita",,Kilograms,8.43
2020,"1. Electronic waste collected, per capita",,Kilograms,6.89
2021,"1. Electronic waste collected, per capita",,Kilograms,5.42
2010,2. Electronic waste collected,,Tonnes,"1,535"
2011,2. Electronic waste collected,,Tonnes,"1,564"
2012,2. Electronic waste collected,,Tonnes,"1,506"
2013,2. Electronic waste collected,,Tonnes,"1,704"
2014,2. Electronic waste collected,,Tonnes,"1,673"
2015,2. Electronic waste collected,,Tonnes,"1,984"
2016,2. Electronic waste collected,,Tonnes,"2,445"
2017,2. Electronic waste collected,,Tonnes,"2,953"
2018,2. Electronic waste collected,,Tonnes,"3,175"
2019,2. Electronic waste collected,,Tonnes,"4,248"
2020,2. Electronic waste collected,,Tonnes,"3,552"
2021,2. Electronic waste collected,,Tonnes,"2,809"
2010,3. Hazardous waste exported,,Tonnes,"17,831"
2011,3. Hazardous waste exported,,Tonnes,"16,828"
2012,3. Hazardous waste exported,,Tonnes,"14,307"
2013,3. Hazardous waste exported,,Tonnes,"10,653"
2014,3. Hazardous waste exported,,Tonnes,"19,422"
2015,3. Hazardous waste exported,,Tonnes,"17,146"
2016,3. Hazardous waste exported,,Tonnes,"110,008"
2017,3. Hazardous waste exported,,Tonnes,"15,862"
2018,3. Hazardous waste exported,,Tonnes,"19,537"
2019,3. Hazardous waste exported,,Tonnes,"9,820"
2020,3. Hazardous waste exported,,Tonnes,"20,743"
2021,3. Hazardous waste exported,,Tonnes,"8,236"
2022,3. Hazardous waste exported,,Tonnes,"15,050"
2010,4. Hazardous waste generated ,,Tonnes,"24,856"
2012,4. Hazardous waste generated ,,Tonnes,"37,987"
2014,4. Hazardous waste generated ,,Tonnes,"36,654"
2016,4. Hazardous waste generated ,,Tonnes,"134,001"
2018,4. Hazardous waste generated ,,Tonnes,"30,316"
2020,4. Hazardous waste generated ,,Tonnes,"41,546"
2010,"5. Hazardous waste generated, per capita",,Kilograms,59.97
2012,"5. Hazardous waste generated, per capita",,Kilograms,90.44
2014,"5. Hazardous waste generated, per capita",,Kilograms,84.35
2016,"5. Hazardous waste generated, per capita",,Kilograms,294.28
2018,"5. Hazardous waste generated, per capita",,Kilograms,62.55
2020,"5. Hazardous waste generated, per capita",,Kilograms,80.62
2010,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,364
2010,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2010,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2010,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,73
2010,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2012,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,502
2014,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,438
2014,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2014,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2014,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2014,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2016,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,477
2018,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,473
2018,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2018,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2018,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2018,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Landfilling,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Incineration to generate energy,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Other type of waste management,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Recycling,Tonnes,0
2020,"6. Hazardous waste treated, by type of treatment",Incineration,Tonnes,642
2010,7. Hazardous waste treated or disposed,,Tonnes,437
2012,7. Hazardous waste treated or disposed,,Tonnes,502
2014,7. Hazardous waste treated or disposed,,Tonnes,438
2016,7. Hazardous waste treated or disposed,,Tonnes,477
2018,7. Hazardous waste treated or disposed,,Tonnes,473
2020,7. Hazardous waste treated or disposed,,Tonnes,642
2010,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2010,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"225,930.43"
2010,8. Municipal waste treated by type of treatment,Incineration,Tonnes,61.28
2010,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2011,8. Municipal waste treated by type of treatment,Composting,Tonnes,"2,943.58"
2011,8. Municipal waste treated by type of treatment,Incineration,Tonnes,117.09
2011,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,"2,555.26"
2011,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"213,321.26"
2012,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"211,311.56"
2012,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,"1,028.98"
2012,8. Municipal waste treated by type of treatment,Incineration,Tonnes,26.61
2012,8. Municipal waste treated by type of treatment,Composting,Tonnes,"5,119.33"
2013,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2013,8. Municipal waste treated by type of treatment,Incineration,Tonnes,44.11
2013,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,601.48
2013,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"210,453.90"
2014,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"219,262.96"
2014,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,837.14
2014,8. Municipal waste treated by type of treatment,Incineration,Tonnes,53.76
2014,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2015,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2015,8. Municipal waste treated by type of treatment,Incineration,Tonnes,41.08
2015,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,799.62
2015,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"300,241.73"
2016,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"221,812.59"
2016,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,805.52
2016,8. Municipal waste treated by type of treatment,Incineration,Tonnes,27.64
2016,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2017,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2017,8. Municipal waste treated by type of treatment,Incineration,Tonnes,20.22
2017,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2017,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"248,006.14"
2018,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"272,031.69"
2018,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2018,8. Municipal waste treated by type of treatment,Incineration,Tonnes,16.01
2018,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2019,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2019,8. Municipal waste treated by type of treatment,Incineration,Tonnes,17.22
2019,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2019,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"320,631.08"
2020,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"273,728.76"
2020,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,0
2020,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2020,8. Municipal waste treated by type of treatment,Incineration,Tonnes,74.9
2021,8. Municipal waste treated by type of treatment,Incineration,Tonnes,125.35
2021,8. Municipal waste treated by type of treatment,Composting,Tonnes,0
2021,8. Municipal waste treated by type of treatment,Incineration to generate energy,Tonnes,"12,742.08"
2021,8. Municipal waste treated by type of treatment,Landfilling,Tonnes,"269,166.71"
2010,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,"56,569"
2010,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,"2,888"
2010,"9. Total waste generation, by activity",Manufacturing,Tonnes,"9,078"
2010,"9. Total waste generation, by activity",Total,Tonnes,"1,352,994"
2010,"9. Total waste generation, by activity",Construction,Tonnes,"988,070"
2010,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,"149,564"
2010,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,109
2012,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,"1,741"
2012,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,"149,267"
2012,"9. Total waste generation, by activity",Construction,Tonnes,"1,044,088"
2012,"9. Total waste generation, by activity",Total,Tonnes,"1,456,213"
2012,"9. Total waste generation, by activity",Manufacturing,Tonnes,"24,702"
2012,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,"2,709"
2012,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,"40,708"
2014,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,"44,179"
2014,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,"3,018"
2014,"9. Total waste generation, by activity",Manufacturing,Tonnes,"24,523"
2014,"9. Total waste generation, by activity",Total,Tonnes,"1,672,810"
2014,"9. Total waste generation, by activity",Construction,Tonnes,"1,241,079"
2014,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,"154,478"
2014,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,"3,914"
2016,"9. Total waste generation, by activity","Electricity, gas, steam and air conditioning supply",Tonnes,"2,935"
2016,"9. Total waste generation, by activity",Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Tonnes,"165,852"
2016,"9. Total waste generation, by activity",Construction,Tonnes,"1,334,053"
2016,"9. Total waste generation, by activity",Manufacturing,Tonnes,"27,068"
2016,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,"10,565"
2016,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,"158,527"
2016,"9. Total waste generation, by activity",Total,Tonnes,"1,951,928"
2018,"9. Total waste generation, by activity",Total,Tonnes,"2,507,070"
2018,"9. Total waste generation, by activity",Mining and quarrying,Tonnes,"40,428"
2018,"9. Total waste generation, by activity","Agriculture, forestry and fishing",Tonnes,"12,292"
2018,"9. Total waste generation, by activity",Manufacturing,Tonnes,"26,323"
