Year,Series,Location,Value
2010,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2010,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2010,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2011,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2011,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2011,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2012,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2012,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2012,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2013,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2013,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2013,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2014,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2014,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2014,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2015,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2015,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2015,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2016,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2016,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2016,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2017,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2017,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2017,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2018,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2018,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2018,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2019,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2019,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2019,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2020,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2020,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2020,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2021,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2021,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2021,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2022,"Proportion of population practicing open defecation, by Urban/Rural (%)",Urban,0.0
2022,"Proportion of population practicing open defecation, by Urban/Rural (%)",Rural,0.0
2022,"Proportion of population practicing open defecation, by Urban/Rural (%)",All Area,0.0
2010,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,93.3
2011,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,92.4
2012,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,91.6
2013,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,90.7
2014,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,89.9
2015,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,89.0
2016,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2017,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2018,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2019,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2020,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2021,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2022,"Proportion of population using safely managed sanitation services, by Urban/Rural (%)",All Area,88.2
2010,Sanitation Facilities,,99.6
2011,Sanitation Facilities,,99.6
2012,Sanitation Facilities,,99.7
2013,Sanitation Facilities,,99.7
2014,Sanitation Facilities,,99.7
2015,Sanitation Facilities,,99.8
2016,Sanitation Facilities,,99.8
2017,Sanitation Facilities,,99.9
2018,Sanitation Facilities,,99.8
2019,Sanitation Facilities,,99.8
2020,Sanitation Facilities,,99.9
2021,Sanitation Facilities,,100.0
2022,Sanitation Facilities,,100.0
2023,Sanitation Facilities,,100.0
2010,"Proportion having at least a bath, a shower or a toiler in their household",,99.6
2011,"Proportion having at least a bath, a shower or a toiler in their household",,99.6
2012,"Proportion having at least a bath, a shower or a toiler in their household",,99.7
2013,"Proportion having at least a bath, a shower or a toiler in their household",,99.7
2014,"Proportion having at least a bath, a shower or a toiler in their household",,99.7
2015,"Proportion having at least a bath, a shower or a toiler in their household",,99.8
2016,"Proportion having at least a bath, a shower or a toiler in their household",,99.8
2017,"Proportion having at least a bath, a shower or a toiler in their household",,99.9
2018,"Proportion having at least a bath, a shower or a toiler in their household",,99.8
2019,"Proportion having at least a bath, a shower or a toiler in their household",,99.8
2020,"Proportion having at least a bath, a shower or a toiler in their household",,99.9
2021,"Proportion having at least a bath, a shower or a toiler in their household",,100.0
2022,"Proportion having at least a bath, a shower or a toiler in their household",,100.0
2023,"Proportion having at least a bath, a shower or a toiler in their household",,100.0
