Year,Series,Value
2010,Lakes and rivers permanent water area change (%),-44.80013
2011,Lakes and rivers permanent water area change (%),-27.31781
2012,Lakes and rivers permanent water area change (%),-23.98073
2013,Lakes and rivers permanent water area change (%),-15.72999
2014,Lakes and rivers permanent water area change (%),2.5145
2015,Lakes and rivers permanent water area change (%),18.00334
2016,Lakes and rivers permanent water area change (%),12.81014
2017,Lakes and rivers permanent water area change (%),3.63415
2018,Lakes and rivers permanent water area change (%),-9.68303
2019,Lakes and rivers permanent water area change (%),-32.35903
2020,Lakes and rivers permanent water area change (%),-57.07655
2021,Lakes and rivers permanent water area change (%),-70.67023
2022,Lakes and rivers permanent water area change (%),-68.12729
2010,Lakes and rivers permanent water area (square kilometres),0.34358
2011,Lakes and rivers permanent water area (square kilometres),0.4524
2012,Lakes and rivers permanent water area (square kilometres),0.47317
2013,Lakes and rivers permanent water area (square kilometres),0.52452
2014,Lakes and rivers permanent water area (square kilometres),0.63808
2015,Lakes and rivers permanent water area (square kilometres),0.73449
2016,Lakes and rivers permanent water area (square kilometres),0.70216
2017,Lakes and rivers permanent water area (square kilometres),0.64505
2018,Lakes and rivers permanent water area (square kilometres),0.56216
2019,Lakes and rivers permanent water area (square kilometres),0.42102
2020,Lakes and rivers permanent water area (square kilometres),0.26717
2021,Lakes and rivers permanent water area (square kilometres),0.18256
2022,Lakes and rivers permanent water area (square kilometres),0.19839
2010,Lakes and rivers permanent water area (% of total land area),0.00107
2011,Lakes and rivers permanent water area (% of total land area),0.00141
2012,Lakes and rivers permanent water area (% of total land area),0.00148
2013,Lakes and rivers permanent water area (% of total land area),0.00164
2014,Lakes and rivers permanent water area (% of total land area),0.00199
2015,Lakes and rivers permanent water area (% of total land area),0.0023
2016,Lakes and rivers permanent water area (% of total land area),0.00219
2017,Lakes and rivers permanent water area (% of total land area),0.00202
2018,Lakes and rivers permanent water area (% of total land area),0.00176
2019,Lakes and rivers permanent water area (% of total land area),0.00132
2020,Lakes and rivers permanent water area (% of total land area),0.00083
2021,Lakes and rivers permanent water area (% of total land area),0.00057
2022,Lakes and rivers permanent water area (% of total land area),0.00062
2010,Lakes and rivers seasonal water area change (%),-43.9997
2011,Lakes and rivers seasonal water area change (%),-38.3841
2012,Lakes and rivers seasonal water area change (%),-25.08178
2013,Lakes and rivers seasonal water area change (%),-16.9616
2014,Lakes and rivers seasonal water area change (%),-9.00635
2015,Lakes and rivers seasonal water area change (%),-15.03122
2016,Lakes and rivers seasonal water area change (%),1.96734
2017,Lakes and rivers seasonal water area change (%),5.23915
2018,Lakes and rivers seasonal water area change (%),9.39694
2019,Lakes and rivers seasonal water area change (%),22.02796
2020,Lakes and rivers seasonal water area change (%),32.89058
2021,Lakes and rivers seasonal water area change (%),47.10246
2022,Lakes and rivers seasonal water area change (%),65.69899
2010,Lakes and rivers seasonal water area (square kilometres),0.28488
2011,Lakes and rivers seasonal water area (square kilometres),0.31345
2012,Lakes and rivers seasonal water area (square kilometres),0.38112
2013,Lakes and rivers seasonal water area (square kilometres),0.42242
2014,Lakes and rivers seasonal water area (square kilometres),0.46289
2015,Lakes and rivers seasonal water area (square kilometres),0.43224
2016,Lakes and rivers seasonal water area (square kilometres),0.51872
2017,Lakes and rivers seasonal water area (square kilometres),0.53536
2018,Lakes and rivers seasonal water area (square kilometres),0.55651
2019,Lakes and rivers seasonal water area (square kilometres),0.62077
2020,Lakes and rivers seasonal water area (square kilometres),0.67603
2021,Lakes and rivers seasonal water area (square kilometres),0.74832
2022,Lakes and rivers seasonal water area (square kilometres),0.84292
2010,Lakes and rivers seasonal water area (% of total land area),0.00089
2011,Lakes and rivers seasonal water area (% of total land area),0.00098
2012,Lakes and rivers seasonal water area (% of total land area),0.00119
2013,Lakes and rivers seasonal water area (% of total land area),0.00132
2014,Lakes and rivers seasonal water area (% of total land area),0.00145
2015,Lakes and rivers seasonal water area (% of total land area),0.00135
2016,Lakes and rivers seasonal water area (% of total land area),0.00162
2017,Lakes and rivers seasonal water area (% of total land area),0.00167
2018,Lakes and rivers seasonal water area (% of total land area),0.00174
2019,Lakes and rivers seasonal water area (% of total land area),0.00194
2020,Lakes and rivers seasonal water area (% of total land area),0.00211
2021,Lakes and rivers seasonal water area (% of total land area),0.00234
2022,Lakes and rivers seasonal water area (% of total land area),0.00263
2010,Reservoir minimum water area (square kilometres),0.0
2011,Reservoir minimum water area (square kilometres),0.0
2012,Reservoir minimum water area (square kilometres),0.0
2013,Reservoir minimum water area (square kilometres),0.0
2014,Reservoir minimum water area (square kilometres),0.0
2015,Reservoir minimum water area (square kilometres),0.0
2016,Reservoir minimum water area (square kilometres),0.0
