Year,Series,Value
2010,"Number of automated teller machines (ATMs) per 100,000 adults",52.2
2011,"Number of automated teller machines (ATMs) per 100,000 adults",55.3
2012,"Number of automated teller machines (ATMs) per 100,000 adults",60.2
2013,"Number of automated teller machines (ATMs) per 100,000 adults",58.7
2014,"Number of automated teller machines (ATMs) per 100,000 adults",55.3
2015,"Number of automated teller machines (ATMs) per 100,000 adults",55.3
2016,"Number of automated teller machines (ATMs) per 100,000 adults",55.0
2017,"Number of automated teller machines (ATMs) per 100,000 adults",54.8
2018,"Number of automated teller machines (ATMs) per 100,000 adults",52.5
2019,"Number of automated teller machines (ATMs) per 100,000 adults",48.9
2020,"Number of automated teller machines (ATMs) per 100,000 adults",46.0
2021,"Number of automated teller machines (ATMs) per 100,000 adults",45.4
2010,"Number of commercial bank branches per 100,000 adults",39.4
2011,"Number of commercial bank branches per 100,000 adults",41.4
2012,"Number of commercial bank branches per 100,000 adults",37.9
2013,"Number of commercial bank branches per 100,000 adults",37.9
2014,"Number of commercial bank branches per 100,000 adults",37.1
2015,"Number of commercial bank branches per 100,000 adults",37.2
2016,"Number of commercial bank branches per 100,000 adults",34.3
2017,"Number of commercial bank branches per 100,000 adults",32.1
2018,"Number of commercial bank branches per 100,000 adults",29.6
2019,"Number of commercial bank branches per 100,000 adults",27.6
2020,"Number of commercial bank branches per 100,000 adults",24.2
2021,"Number of commercial bank branches per 100,000 adults",23.5
