Year,Series ,Migratory Status,Sex,Value
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,7.59
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,7.39
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,5.04
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,4.87
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Female,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,0.0
2010,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,0.0
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,1.19
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,0.0
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,1.22
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,0.0
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,1.81
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,1.85
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,0.0
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,0.0
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2011,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Female,0.0
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Bothsex,28.73
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Male,42.16
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,5.39
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Female,0.0
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Male,9.04
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,313.48
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-EU Migrants,Female,0.0
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Bothsex,3.52
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Bothsex,252.21
2012,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Total,Bothsex,5.9
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",Non-Migrant,Male,3.95
2013,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",EU Migrants,Male,0.0
