Year,Value,Units,Series
2013,275.11,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2014,261.39,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2015,258.64,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2016,269.36,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2017,291.03,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2018,279.59,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2019,270.38,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2020,274.22,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2021,226.41,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2022,232.71,KGOE per thousand euro,Energy intensity (Kilograms of oil equivalent (KGOE) per thousand euro)
2010,2.85,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2011,3.02,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2012,3.29,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2013,3.64,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2014,3.83,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2015,3.87,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2016,3.71,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2017,3.44,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2018,3.58,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2019,3.7,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2020,3.65,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2021,4.42,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
2022,4.3,Euro per KGOE,Energy productivity in Euro per kilogram of oil equivalent (KGOE)
