Year,Value,Series
2017,2.636,Freight volume (aviation) in tonne kilometres (millions)
2018,4.815,Freight volume (aviation) in tonne kilometres (millions)
2019,6.727,Freight volume (aviation) in tonne kilometres (millions)
2020,2.904,Freight volume (aviation) in tonne kilometres (millions)
2021,2.751,Freight volume (aviation) in tonne kilometres (millions)
2017,2264.761,Passenger volume (aviation) in passenger kilometres (millions)
2018,3336.935,Passenger volume (aviation) in passenger kilometres (millions)
2019,3372.515,Passenger volume (aviation) in passenger kilometres (millions)
2020,816.241,Passenger volume (aviation) in passenger kilometres (millions)
2021,909.973,Passenger volume (aviation) in passenger kilometres (millions)
2010,2.414,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2011,2.407,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2012,2.59,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2013,2.794,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2014,2.924,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2015,3.121,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2016,3.152,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2017,3.246,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2018,3.414,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2019,2.813,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2020,2.539,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2021,3.076,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2022,2.994,Container port traffic (maritime transport) in twenty-foot equivalent units - TEUs (millions)
2010,8.562,Unloaded local cargo (maritime transport) in millions of tonnes
2011,7.523,Unloaded local cargo (maritime transport) in millions of tonnes
2012,6.957,Unloaded local cargo (maritime transport) in millions of tonnes
2013,6.666,Unloaded local cargo (maritime transport) in millions of tonnes
2014,7.455,Unloaded local cargo (maritime transport) in millions of tonnes
2015,7.164,Unloaded local cargo (maritime transport) in millions of tonnes
2016,7.64,Unloaded local cargo (maritime transport) in millions of tonnes
2017,7.07,Unloaded local cargo (maritime transport) in millions of tonnes
2018,6.886,Unloaded local cargo (maritime transport) in millions of tonnes
2019,8.342,Unloaded local cargo (maritime transport) in millions of tonnes
2020,6.209,Unloaded local cargo (maritime transport) in millions of tonnes
2021,5.698,Unloaded local cargo (maritime transport) in millions of tonnes
2010,4.348,Loaded local cargo (maritime transport) in millions of tonnes
2011,3.784,Loaded local cargo (maritime transport) in millions of tonnes
2012,3.214,Loaded local cargo (maritime transport) in millions of tonnes
2013,2.925,Loaded local cargo (maritime transport) in millions of tonnes
2014,3.815,Loaded local cargo (maritime transport) in millions of tonnes
2015,3.043,Loaded local cargo (maritime transport) in millions of tonnes
2016,3.715,Loaded local cargo (maritime transport) in millions of tonnes
2017,3.21,Loaded local cargo (maritime transport) in millions of tonnes
2018,2.413,Loaded local cargo (maritime transport) in millions of tonnes
2019,2.382,Loaded local cargo (maritime transport) in millions of tonnes
2020,3.418,Loaded local cargo (maritime transport) in millions of tonnes
2021,3.932,Loaded local cargo (maritime transport) in millions of tonnes
