Year,Series,Sex,Units,Value
2010,Coverage of essential health services,,Index,79.0
2015,Coverage of essential health services,,Index,85.0
2017,Coverage of essential health services,,Index,85.0
2019,Coverage of essential health services,,Index,83.0
2021,Coverage of essential health services,,Index,85.0
2012,Life expectancy at birth by sex,,Año,80.9
2013,Life expectancy at birth by sex,,Año,81.8
2014,Life expectancy at birth by sex,,Año,82.1
2015,Life expectancy at birth by sex,,Año,82.0
2016,Life expectancy at birth by sex,,Año,82.6
2017,Life expectancy at birth by sex,,Año,82.4
2018,Life expectancy at birth by sex,,Año,82.3
2019,Life expectancy at birth by sex,,Año,82.7
2020,Life expectancy at birth by sex,,Año,82.1
2021,Life expectancy at birth by sex,,Año,82.3
2022,Life expectancy at birth by sex,,Año,82.4
2023,Life expectancy at birth by sex,,Año,83.6
2010,Healthy life years at age 65 by sex,Total,Año,11.9
2010,Healthy life years at age 65 by sex,Males,Año,12.0
2010,Healthy life years at age 65 by sex,Females,Año,11.7
2011,Healthy life years at age 65 by sex,Total,Año,11.4
2011,Healthy life years at age 65 by sex,Males,Año,11.8
2011,Healthy life years at age 65 by sex,Females,Año,11.0
2012,Healthy life years at age 65 by sex,Total,Año,12.4
2012,Healthy life years at age 65 by sex,Males,Año,12.5
2012,Healthy life years at age 65 by sex,Females,Año,12.3
2013,Healthy life years at age 65 by sex,Total,Año,12.8
2013,Healthy life years at age 65 by sex,Males,Año,12.8
2013,Healthy life years at age 65 by sex,Females,Año,12.7
2014,Healthy life years at age 65 by sex,Total,Año,13.5
2014,Healthy life years at age 65 by sex,Males,Año,13.2
2014,Healthy life years at age 65 by sex,Females,Año,13.8
2015,Healthy life years at age 65 by sex,Total,Año,13.7
2015,Healthy life years at age 65 by sex,Males,Año,13.3
2015,Healthy life years at age 65 by sex,Females,Año,13.9
2016,Healthy life years at age 65 by sex,Total,Año,12.9
2016,Healthy life years at age 65 by sex,Males,Año,12.8
2016,Healthy life years at age 65 by sex,Females,Año,12.9
2017,Healthy life years at age 65 by sex,Total,Año,13.9
2017,Healthy life years at age 65 by sex,Males,Año,13.6
2017,Healthy life years at age 65 by sex,Females,Año,14.2
2018,Healthy life years at age 65 by sex,Total,Año,14.3
2018,Healthy life years at age 65 by sex,Males,Año,14.0
2018,Healthy life years at age 65 by sex,Females,Año,14.5
2019,Healthy life years at age 65 by sex,Total,Año,14.8
2019,Healthy life years at age 65 by sex,Males,Año,14.4
2019,Healthy life years at age 65 by sex,Females,Año,15.1
2020,Healthy life years at age 65 by sex,Total,Año,12.8
2020,Healthy life years at age 65 by sex,Males,Año,12.6
2020,Healthy life years at age 65 by sex,Females,Año,13.0
2021,Healthy life years at age 65 by sex,Total,Año,11.9
2021,Healthy life years at age 65 by sex,Males,Año,12.2
2021,Healthy life years at age 65 by sex,Females,Año,11.6
2022,Healthy life years at age 65 by sex,Total,Año,12.1
2022,Healthy life years at age 65 by sex,Males,Año,12.2
2022,Healthy life years at age 65 by sex,Females,Año,12.0
