Year,Series,Education level,Age,Value
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2010,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2011,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2012,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2013,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2014,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2015,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2016,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2017,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Lower secondary,All Ages,1.0
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Primary,All Ages,1.0
2018,"Adjusted gender parity index for completion rate, by location, wealth quintile and education level",Upper secondary,All Ages,1.2
