Year,Series,Type of Product,Value
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.367
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.113
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.508
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,-0.021
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,1.291
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.04
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.024
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.025
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.111
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.093
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00681
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.962
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.67062
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,9.358
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.0169
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,1.17476
2000,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.089
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.0
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.118
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.88
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00716
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,0.977
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.007
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.091
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.5
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.273
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.022
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.038
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.05
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.008
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,0.86726
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,8.952
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.63333
2001,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01416
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.296
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01424
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,1.11423
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.044
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.028
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.02
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.126
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.808
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.097
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.004
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,1.226
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.124
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00691
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.875
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.95323
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,8.553
2002,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.002
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.01795
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,10.136
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,6.24403
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.891
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00633
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,1.493
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.003
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.136
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.041
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.063
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.02
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.044
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,1.37031
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,-0.044
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,7.126
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.07
2003,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.379
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,5.14481
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,10.21
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.02036
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,1.69032
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.047
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.068
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",BIM,1.669
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",FEO,0.094
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,6.066
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.005
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,1.808
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.0068
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.474
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.042
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.394
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2004,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.747
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",WOD,0.076
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",GAS,0.047
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",ONT,0.0
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",PET,1.50904
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",NMA,0.02831
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",ALP,8.869
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",CRO,0.849
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",CPR,0.001
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",GBO,0.109
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",MEO,0.294
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",WCH,0.033
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",NMC,4.3686
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",NMM,5.369
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",COL,0.00588
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",FOF,1.635
2005,"Domestic material consumption per capita, by type of raw material (tonnes)",NFO,0.007
