Year,Series,Value
Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
Countries that are parties to the Nagoya Protocol,1,
Countries that are parties to the Nagoya Protocol,1,
Countries that are parties to the Nagoya Protocol,1,
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),0.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),0.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1.0
Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1.0
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),0,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),0,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA),1,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,0,
