Year,Series,Sex,Value
2010,Infant mortality rate (deaths per 1000 live births),Total,6.0
2010,Infant mortality rate (deaths per 1000 live births),Male,6.4
2010,Infant mortality rate (deaths per 1000 live births),Female,5.5
2011,Infant mortality rate (deaths per 1000 live births),Female,5.5
2011,Infant mortality rate (deaths per 1000 live births),Male,6.4
2011,Infant mortality rate (deaths per 1000 live births),Total,6.0
2012,Infant mortality rate (deaths per 1000 live births),Male,6.4
2012,Infant mortality rate (deaths per 1000 live births),Female,5.5
2012,Infant mortality rate (deaths per 1000 live births),Total,5.9
2013,Infant mortality rate (deaths per 1000 live births),Female,5.4
2013,Infant mortality rate (deaths per 1000 live births),Male,6.3
2013,Infant mortality rate (deaths per 1000 live births),Total,5.9
2014,Infant mortality rate (deaths per 1000 live births),Total,5.8
2014,Infant mortality rate (deaths per 1000 live births),Male,6.3
2014,Infant mortality rate (deaths per 1000 live births),Female,5.4
2015,Infant mortality rate (deaths per 1000 live births),Female,5.3
2015,Infant mortality rate (deaths per 1000 live births),Male,6.2
2015,Infant mortality rate (deaths per 1000 live births),Total,5.8
2016,Infant mortality rate (deaths per 1000 live births),Total,5.7
2016,Infant mortality rate (deaths per 1000 live births),Male,6.1
2016,Infant mortality rate (deaths per 1000 live births),Female,5.2
2017,Infant mortality rate (deaths per 1000 live births),Total,5.6
2017,Infant mortality rate (deaths per 1000 live births),Female,5.1
2017,Infant mortality rate (deaths per 1000 live births),Male,6.0
2018,Infant mortality rate (deaths per 1000 live births),Male,5.9
2018,Infant mortality rate (deaths per 1000 live births),Total,5.5
2018,Infant mortality rate (deaths per 1000 live births),Female,5.0
2019,Infant mortality rate (deaths per 1000 live births),Female,4.9
2019,Infant mortality rate (deaths per 1000 live births),Male,5.7
2019,Infant mortality rate (deaths per 1000 live births),Total,5.3
2020,Infant mortality rate (deaths per 1000 live births),Female,4.8
2020,Infant mortality rate (deaths per 1000 live births),Total,5.2
2020,Infant mortality rate (deaths per 1000 live births),Male,5.6
2021,Infant mortality rate (deaths per 1000 live births),Male,5.4
2021,Infant mortality rate (deaths per 1000 live births),Total,5.1
2021,Infant mortality rate (deaths per 1000 live births),Female,4.7
2010,Under-five mortality rate (deaths per 1000 live births),Total,6.8
2010,Under-five mortality rate (deaths per 1000 live births),Male,7.4
2010,Under-five mortality rate (deaths per 1000 live births),Female,6.3
2011,Under-five mortality rate (deaths per 1000 live births),Female,6.3
2011,Under-five mortality rate (deaths per 1000 live births),Male,7.3
2011,Under-five mortality rate (deaths per 1000 live births),Total,6.8
2012,Under-five mortality rate (deaths per 1000 live births),Total,6.8
2012,Under-five mortality rate (deaths per 1000 live births),Male,7.3
2012,Under-five mortality rate (deaths per 1000 live births),Female,6.2
2013,Under-five mortality rate (deaths per 1000 live births),Male,7.2
2013,Under-five mortality rate (deaths per 1000 live births),Total,6.7
2013,Under-five mortality rate (deaths per 1000 live births),Female,6.2
2014,Under-five mortality rate (deaths per 1000 live births),Total,6.7
2014,Under-five mortality rate (deaths per 1000 live births),Male,7.2
2014,Under-five mortality rate (deaths per 1000 live births),Female,6.1
2015,Under-five mortality rate (deaths per 1000 live births),Female,6.1
2015,Under-five mortality rate (deaths per 1000 live births),Male,7.1
2015,Under-five mortality rate (deaths per 1000 live births),Total,6.6
2016,Under-five mortality rate (deaths per 1000 live births),Total,6.5
2016,Under-five mortality rate (deaths per 1000 live births),Male,7.0
2016,Under-five mortality rate (deaths per 1000 live births),Female,6.0
2017,Under-five mortality rate (deaths per 1000 live births),Female,5.9
2017,Under-five mortality rate (deaths per 1000 live births),Male,6.9
2017,Under-five mortality rate (deaths per 1000 live births),Total,6.4
2018,Under-five mortality rate (deaths per 1000 live births),Male,6.7
2018,Under-five mortality rate (deaths per 1000 live births),Total,6.3
2018,Under-five mortality rate (deaths per 1000 live births),Female,5.8
2019,Under-five mortality rate (deaths per 1000 live births),Female,5.7
2019,Under-five mortality rate (deaths per 1000 live births),Total,6.1
2019,Under-five mortality rate (deaths per 1000 live births),Male,6.6
2020,Under-five mortality rate (deaths per 1000 live births),Male,6.4
2020,Under-five mortality rate (deaths per 1000 live births),Female,5.5
2020,Under-five mortality rate (deaths per 1000 live births),Total,6.0
2021,Under-five mortality rate (deaths per 1000 live births),Total,5.8
2021,Under-five mortality rate (deaths per 1000 live births),Female,5.4
2021,Under-five mortality rate (deaths per 1000 live births),Male,6.2
