Year,Sex,Value
2011,All Sexes,98.8
2011,Female,100.0
2011,Male,97.7
2012,All Sexes,98.8
2012,Female,100.0
2012,Male,97.8
2013,All Sexes,98.9
2013,Female,100.0
2013,Male,97.8
2014,All Sexes,96.5
2014,Female,94.1
2014,Male,98.9
2015,All Sexes,99.4
2015,Female,98.8
2015,Male,100.0
2016,All Sexes,98.0
2016,Female,96.3
2016,Male,99.6
2017,All Sexes,96.5
2017,Female,96.8
2017,Male,96.3
2018,All Sexes,95.3
2018,Female,94.6
2018,Male,95.9
2019,All Sexes,94.9
2019,Female,95.1
2019,Male,94.7
2020,All Sexes,90.8
2020,Female,90.7
2020,Male,90.8
2021,All Sexes,88.7
2021,Female,89.7
2021,Male,87.8
2022,All Sexes,89.3
2022,Female,88.6
2022,Male,89.9
