Year,Series,Sex,Age,Value
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,55.2
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,15.8
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,7.3
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.0
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,56.5
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,16.1
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,7.5
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.4
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,53.9
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,15.5
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,7.1
2010,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,2.6
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,54.3
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,15.9
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,7.9
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.0
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,58.2
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,16.9
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,8.3
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.7
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,50.6
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,14.9
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,7.5
2011,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,2.3
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,55.7
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,16.5
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,8.7
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,2.8
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,59.8
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,17.5
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,25-54,9.0
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,55-64,3.4
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-24,51.7
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,15-64,15.5
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,25-54,8.3
2012,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Male,55-64,2.3
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-24,55.1
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,15-64,16.7
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,25-54,9.1
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",All Sexes,55-64,3.6
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-24,57.7
2013,"Participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",Female,15-64,17.4
