Year,Series,Age,Units,Sex,Value
2010,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,6.7
2010,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,7.1
2010,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,6.9
2011,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,6.0
2011,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,7.1
2011,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,6.4
2012,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,5.6
2012,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,7.2
2012,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,6.2
2013,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,6.1
2013,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,6.1
2013,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,6.1
2014,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,6.1
2014,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,5.1
2014,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,5.7
2015,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,5.4
2015,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,5.4
2015,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,5.4
2016,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,4.4
2016,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,5.2
2016,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,4.7
2017,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,3.8
2017,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,4.3
2017,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,4.0
2018,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,4.1
2018,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,3.7
2018,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,4.0
2019,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,3.7
2019,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,4.7
2019,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,4.1
2020,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,4.7
2020,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,5.1
2020,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,4.9
2021,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,3.9
2021,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,3.6
2021,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,3.8
2022,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,3.7
2022,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,3.1
2022,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,3.5
2023,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Male,3.7
2023,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),Female,3.2
2023,"1. Unemployment rate, by sex, age and persons with disabilities",15-74,Percentage (%),All Sexes,3.5
2010,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,14.4
2010,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,11.8
2010,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,13.2
2011,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,13.7
2011,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,12.9
2011,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,13.3
2012,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,13.3
2012,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,14.5
2012,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),All Sexes,13.8
2013,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Male,14.7
2013,"1. Unemployment rate, by sex, age and persons with disabilities",15-24,Percentage (%),Female,10.4
