Year,Value,Series
2010,76,3 doses of diphtheria-tetanus-pertussis (DTP3)
2011,96,3 doses of diphtheria-tetanus-pertussis (DTP3)
2012,99,3 doses of diphtheria-tetanus-pertussis (DTP3)
2013,99,3 doses of diphtheria-tetanus-pertussis (DTP3)
2014,99,3 doses of diphtheria-tetanus-pertussis (DTP3)
2015,97,3 doses of diphtheria-tetanus-pertussis (DTP3)
2016,97,3 doses of diphtheria-tetanus-pertussis (DTP3)
2017,98,3 doses of diphtheria-tetanus-pertussis (DTP3)
2018,97,3 doses of diphtheria-tetanus-pertussis (DTP3)
2019,98,3 doses of diphtheria-tetanus-pertussis (DTP3)
2020,98,3 doses of diphtheria-tetanus-pertussis (DTP3)
2021,99,3 doses of diphtheria-tetanus-pertussis (DTP3)
2013,28,Human papillomavirus (HPV)
2014,87,Human papillomavirus (HPV)
2015,88,Human papillomavirus (HPV)
2016,83,Human papillomavirus (HPV)
2017,78,Human papillomavirus (HPV)
2018,80,Human papillomavirus (HPV)
2019,81,Human papillomavirus (HPV)
2020,85,Human papillomavirus (HPV)
2021,99,Human papillomavirus (HPV)
2010,85,Measles-containing-vaccine second-dose (MCV2)
2011,85,Measles-containing-vaccine second-dose (MCV2)
2012,91,Measles-containing-vaccine second-dose (MCV2)
2013,88,Measles-containing-vaccine second-dose (MCV2)
2014,94,Measles-containing-vaccine second-dose (MCV2)
2015,91,Measles-containing-vaccine second-dose (MCV2)
2016,86,Measles-containing-vaccine second-dose (MCV2)
2017,83,Measles-containing-vaccine second-dose (MCV2)
2018,95,Measles-containing-vaccine second-dose (MCV2)
2019,95,Measles-containing-vaccine second-dose (MCV2)
2020,99,Measles-containing-vaccine second-dose (MCV2)
2021,93,Measles-containing-vaccine second-dose (MCV2)
2021,99,Pneumococcal conjugate 3rd dose (PCV3)
