Year,Series,Value
2010,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),77.156676
2011,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),98.381093
2012,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),102.76855
2013,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),87.54491
2014,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),95.341616
2015,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),84.991751
2016,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),94.961761
2017,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),145.237371
2018,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),141.568718
2019,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),134.790655
2020,Amount of tracked exported Environmentally Sound Technologies (millions of current United States dollars),133.844824
2010,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),229.916956
2011,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),257.114481
2012,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),202.045808
2013,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),196.595317
2014,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),216.171942
2015,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),229.646351
2016,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),188.129188
2017,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),239.391218
2018,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),227.347723
2019,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),219.528181
2020,Amount of tracked imported Environmentally Sound Technologies (millions of current United States dollars),178.087597
2010,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),307.073632
2011,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),355.495574
2012,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),304.814358
2013,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),284.140227
2014,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),311.513558
2015,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),314.638102
2016,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),283.090949
2017,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),386.491022
2018,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),368.916441
2019,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),354.318836
2020,Total trade of tracked Environmentally Sound Technologies (millions of current United States dollars),311.932421
