Year,Outcome of processed applications,Value
2010,Asylum first instance decisions,83.86
2011,Asylum first instance decisions,384.62
2012,Asylum first instance decisions,377.63
2013,Asylum first instance decisions,444.93
2014,Asylum first instance decisions,395.39
2015,Asylum first instance decisions,331.6
2016,Asylum first instance decisions,312.38
2017,Asylum first instance decisions,233.55
2018,Asylum first instance decisions,304.28
2019,Asylum first instance decisions,202.0
2020,Asylum first instance decisions,169.15
2021,Asylum first instance decisions,155.52
2022,Asylum first instance decisions,234.48
2023,Asylum first instance decisions,197.71
2010,Granted refugee status,10.36
2011,Granted refugee status,16.76
2012,Granted refugee status,8.3
2013,Granted refugee status,10.04
2014,Granted refugee status,43.53
2015,Granted refugee status,58.49
2016,Granted refugee status,36.35
2017,Granted refugee status,35.17
2018,Granted refugee status,30.43
2019,Granted refugee status,9.32
2020,Granted refugee status,14.34
2021,Granted refugee status,3.46
2022,Granted refugee status,2.4
2023,Granted refugee status,3.55
2010,Other forms of protection status,43.13
2011,Other forms of protection status,194.95
2012,Other forms of protection status,331.7
2013,Other forms of protection status,365.05
2014,Other forms of protection status,243.39
2015,Other forms of protection status,219.51
2016,Other forms of protection status,223.13
2017,Other forms of protection status,125.31
2018,Other forms of protection status,100.62
2019,Other forms of protection status,69.73
2020,Other forms of protection status,37.59
2021,Other forms of protection status,31.14
2022,Other forms of protection status,33.02
2023,Other forms of protection status,54.49
2010,Rejections,30.36
2011,Rejections,172.92
2012,Rejections,37.25
2013,Rejections,69.83
2014,Rejections,108.48
2015,Rejections,53.6
2016,Rejections,52.9
2017,Rejections,73.08
2018,Rejections,173.24
2019,Rejections,122.95
2020,Rejections,117.22
2021,Rejections,120.92
2022,Rejections,199.06
2023,Rejections,139.68
