Year,Series,Value
2009,"Total assistance for development, by donor countries (millions of current United States dollars)",13.69
2010,"Total assistance for development, by donor countries (millions of current United States dollars)",13.8
2011,"Total assistance for development, by donor countries (millions of current United States dollars)",19.96
2012,"Total assistance for development, by donor countries (millions of current United States dollars)",18.58
2013,"Total assistance for development, by donor countries (millions of current United States dollars)",18.26
2014,"Total assistance for development, by donor countries (millions of current United States dollars)",20.41
2015,"Total assistance for development, by donor countries (millions of current United States dollars)",16.56
2016,"Total assistance for development, by donor countries (millions of current United States dollars)",20.55
2017,"Total assistance for development, by donor countries (millions of current United States dollars)",24.99
2018,"Total assistance for development, by donor countries (millions of current United States dollars)",32.93
2019,"Total assistance for development, by donor countries (millions of current United States dollars)",41.01
2020,"Total assistance for development, by donor countries (millions of current United States dollars)",53.4
2021,"Total assistance for development, by donor countries (millions of current United States dollars)",52.17
