Year,Series,Units,Value
2010,1. Proportion of municipal waste recycled,Percentage,8.8
2011,1. Proportion of municipal waste recycled,Percentage,15.4
2012,1. Proportion of municipal waste recycled,Percentage,14.6
2013,1. Proportion of municipal waste recycled,Percentage,12.5
2014,1. Proportion of municipal waste recycled,Percentage,11.7
2015,1. Proportion of municipal waste recycled,Percentage,10.9
2016,1. Proportion of municipal waste recycled,Percentage,12.6
2017,1. Proportion of municipal waste recycled,Percentage,11.5
2018,1. Proportion of municipal waste recycled,Percentage,10.5
2019,1. Proportion of municipal waste recycled,Percentage,9.1
2020,1. Proportion of municipal waste recycled,Percentage,10.9
2021,1. Proportion of municipal waste recycled,Percentage,13.5
2010,2. Municipal waste recycled,Tonnes,23000.0
2011,2. Municipal waste recycled,Tonnes,40000.0
2012,2. Municipal waste recycled,Tonnes,38000.0
2013,2. Municipal waste recycled,Tonnes,32000.0
2014,2. Municipal waste recycled,Tonnes,32000.0
2015,2. Municipal waste recycled,Tonnes,31000.0
2016,2. Municipal waste recycled,Tonnes,37000.0
2017,2. Municipal waste recycled,Tonnes,36000.0
2018,2. Municipal waste recycled,Tonnes,34000.0
2019,2. Municipal waste recycled,Tonnes,32000.0
2020,2. Municipal waste recycled,Tonnes,36000.0
2021,2. Municipal waste recycled,Tonnes,43000.0
2010,"3. Electronic waste recycled, per capita",Kilograms,2.09
2011,"3. Electronic waste recycled, per capita",Kilograms,4.61
2012,"3. Electronic waste recycled, per capita",Kilograms,2.57
2013,"3. Electronic waste recycled, per capita",Kilograms,3.9
2014,"3. Electronic waste recycled, per capita",Kilograms,4.12
2015,"3. Electronic waste recycled, per capita",Kilograms,2.9
2016,"3. Electronic waste recycled, per capita",Kilograms,5.55
2017,"3. Electronic waste recycled, per capita",Kilograms,4.55
2018,"3. Electronic waste recycled, per capita",Kilograms,4.82
2010,4. Proportion of electronic waste recycled,Percentage ,56.4
2011,4. Proportion of electronic waste recycled,Percentage ,122.8
2012,4. Proportion of electronic waste recycled,Percentage ,71.7
2013,4. Proportion of electronic waste recycled,Percentage ,97.5
2014,4. Proportion of electronic waste recycled,Percentage ,107.1
2015,4. Proportion of electronic waste recycled,Percentage ,65.1
2016,4. Proportion of electronic waste recycled,Percentage ,103.4
2017,4. Proportion of electronic waste recycled,Percentage ,72.1
2010,5. Electronic waste recycled,Tonnes,865.0
2011,5. Electronic waste recycled,Tonnes,1921.0
2012,5. Electronic waste recycled,Tonnes,1080.0
2013,5. Electronic waste recycled,Tonnes,1661.0
2014,5. Electronic waste recycled,Tonnes,1791.0
2015,5. Electronic waste recycled,Tonnes,1292.0
2016,5. Electronic waste recycled,Tonnes,2527.0
2017,5. Electronic waste recycled,Tonnes,2128.0
2018,5. Electronic waste recycled,Tonnes,2336.0
