Year,Sex,Value
2010,Total,63.0
2010,Female,58.46
2010,Male,67.66
2011,Total,68.02
2011,Female,66.46
2011,Male,69.58
2012,Total,68.2
2012,Female,66.32
2012,Male,70.77
2013,Total,68.91
2013,Female,66.86
2013,Male,70.94
2014,Total,73.17
2014,Female,71.64
2014,Male,74.55
2015,Total,75.96
2015,Female,74.58
2015,Male,77.3
2016,Total,78.08
2016,Female,78.0
2016,Male,78.15
2017,Female,79.51
2017,Male,82.44
2017,Total,81.01
2018,Total,81.66
2018,Female,81.71
2018,Male,81.61
2019,Total,85.78
2019,Female,85.82
2019,Male,85.74
2020,Male,86.75
2020,Female,86.98
2020,Total,86.86
2021,Total,87.47
2021,Female,87.79
2021,Male,87.18
2022,Total,91.54
2022,Female,91.18
2022,Male,91.86
