Year,Series,Sex,Units,Value
2010,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,8.0
2011,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,8.1
2012,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,8.2
2013,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,8.4
2014,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,8.7
2015,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.0
2016,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.1
2017,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.3
2018,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.5
2019,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.6
2020,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.7
2021,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.8
2022,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,9.9
2023,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,10.0
2024,Proportion of children moderately or severely overweight,Both Sexes,Percentage of children aged 0-59 months,10.1
2010,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,7.5
2011,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,7.6
2012,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,7.7
2013,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,7.9
2014,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,8.1
2015,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,8.4
2016,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,8.6
2017,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,8.7
2018,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,8.9
2019,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,9.0
2020,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,9.1
2021,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,9.2
2022,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,9.3
2023,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,9.4
2024,Proportion of children moderately or severely overweight,Females,Percentage of children aged 0-59 months,9.5
2010,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,8.5
2011,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,8.7
2012,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,8.8
2013,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,9.0
2014,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,9.3
2015,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,9.6
2016,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,9.8
2017,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.0
2018,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.1
2019,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.2
2020,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.3
2021,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.5
2022,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.6
2023,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.7
2024,Proportion of children moderately or severely overweight,Males,Percentage of children aged 0-59 months,10.8
2010,Children moderately or severely overweight,Both Sexes,Thousands,1.6
2011,Children moderately or severely overweight,Both Sexes,Thousands,1.7
2012,Children moderately or severely overweight,Both Sexes,Thousands,1.7
2013,Children moderately or severely overweight,Both Sexes,Thousands,1.8
2014,Children moderately or severely overweight,Both Sexes,Thousands,1.9
2015,Children moderately or severely overweight,Both Sexes,Thousands,2.0
2016,Children moderately or severely overweight,Both Sexes,Thousands,2.1
2017,Children moderately or severely overweight,Both Sexes,Thousands,2.1
2018,Children moderately or severely overweight,Both Sexes,Thousands,2.2
2019,Children moderately or severely overweight,Both Sexes,Thousands,2.3
2020,Children moderately or severely overweight,Both Sexes,Thousands,2.3
2021,Children moderately or severely overweight,Both Sexes,Thousands,2.3
2022,Children moderately or severely overweight,Both Sexes,Thousands,2.2
2023,Children moderately or severely overweight,Both Sexes,Thousands,2.2
2024,Children moderately or severely overweight,Both Sexes,Thousands,2.2
2010,Children moderately or severely overweight,Females,Thousands,0.7
2011,Children moderately or severely overweight,Females,Thousands,0.7
2012,Children moderately or severely overweight,Females,Thousands,0.8
2013,Children moderately or severely overweight,Females,Thousands,0.8
2014,Children moderately or severely overweight,Females,Thousands,0.8
2015,Children moderately or severely overweight,Females,Thousands,0.9
2016,Children moderately or severely overweight,Females,Thousands,0.9
2017,Children moderately or severely overweight,Females,Thousands,1.0
2018,Children moderately or severely overweight,Females,Thousands,1.0
2019,Children moderately or severely overweight,Females,Thousands,1.0
2020,Children moderately or severely overweight,Females,Thousands,1.0
2021,Children moderately or severely overweight,Females,Thousands,1.0
2022,Children moderately or severely overweight,Females,Thousands,1.0
2023,Children moderately or severely overweight,Females,Thousands,1.0
2024,Children moderately or severely overweight,Females,Thousands,1.0
2010,Children moderately or severely overweight,Males,Thousands,0.9
2011,Children moderately or severely overweight,Males,Thousands,0.9
2012,Children moderately or severely overweight,Males,Thousands,0.9
2013,Children moderately or severely overweight,Males,Thousands,1.0
2014,Children moderately or severely overweight,Males,Thousands,1.0
2015,Children moderately or severely overweight,Males,Thousands,1.1
2016,Children moderately or severely overweight,Males,Thousands,1.1
2017,Children moderately or severely overweight,Males,Thousands,1.2
2018,Children moderately or severely overweight,Males,Thousands,1.2
2019,Children moderately or severely overweight,Males,Thousands,1.2
2020,Children moderately or severely overweight,Males,Thousands,1.3
2021,Children moderately or severely overweight,Males,Thousands,1.2
2022,Children moderately or severely overweight,Males,Thousands,1.2
2023,Children moderately or severely overweight,Males,Thousands,1.2
2024,Children moderately or severely overweight,Males,Thousands,1.2
