Year,Series,Value
2017,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli),15.9
2018,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli),16.4
2019,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli),18.2
2020,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli),11.9
2021,Escherichia coli resistant to 3rd-generation cephalosporin (ESBL - E. coli),13.0
2017,Methicillin-Resistant Staphylococcus Aureus (MRSA),43.3
2018,Methicillin-Resistant Staphylococcus Aureus (MRSA),36.4
2019,Methicillin-Resistant Staphylococcus Aureus (MRSA),22.1
2020,Methicillin-Resistant Staphylococcus Aureus (MRSA),19.6
2021,Methicillin-Resistant Staphylococcus Aureus (MRSA),20.4
