Year,Sex,Value
2010,All Sexes,39.9
2011,All Sexes,34.76
2012,All Sexes,29.06
2013,All Sexes,31.87
2014,All Sexes,23.75
2015,All Sexes,21.97
2016,All Sexes,22.97
2016,Female,32.43
2016,Male,22.29
2017,All Sexes,28.93
2017,Female,37.93
2017,Male,27.95
2018,All Sexes,29.61
2018,Female,31.94
2018,Male,29.31
2019,All Sexes,32.49
2019,Female,22.22
2019,Male,33.43
2020,All Sexes,30.09
2020,Female,32.76
2020,Male,29.9
2021,All Sexes,31.6
2021,Female,29.63
2021,Male,31.79
2022,All Sexes,37.92
2022,Female,50.94
2022,Male,36.56
2023,All Sexes,40.92
2023,Male,40.89
2023,Female,41.3
