Year,Series,Sex,Units,Value
2010,1. Coverage of essential health services,,Index,79.0
2015,1. Coverage of essential health services,,Index,85.0
2017,1. Coverage of essential health services,,Index,85.0
2019,1. Coverage of essential health services,,Index,83.0
2021,1. Coverage of essential health services,,Index,85.0
2012,2. Life expectancy at birth by sex,,Year,80.9
2013,2. Life expectancy at birth by sex,,Year,81.8
2014,2. Life expectancy at birth by sex,,Year,82.1
2015,2. Life expectancy at birth by sex,,Year,82.0
2016,2. Life expectancy at birth by sex,,Year,82.6
2017,2. Life expectancy at birth by sex,,Year,82.4
2018,2. Life expectancy at birth by sex,,Year,82.3
2019,2. Life expectancy at birth by sex,,Year,82.7
2020,2. Life expectancy at birth by sex,,Year,82.1
2021,2. Life expectancy at birth by sex,,Year,82.3
2022,2. Life expectancy at birth by sex,,Year,82.4
2023,2. Life expectancy at birth by sex,,Year,83.6
2010,3. Healthy life years at age 65 by sex,All Sexes,Year,11.9
2010,3. Healthy life years at age 65 by sex,Males,Year,12.0
2010,3. Healthy life years at age 65 by sex,Females,Year,11.7
2011,3. Healthy life years at age 65 by sex,All Sexes,Year,11.4
2011,3. Healthy life years at age 65 by sex,Males,Year,11.8
2011,3. Healthy life years at age 65 by sex,Females,Year,11.0
2012,3. Healthy life years at age 65 by sex,All Sexes,Year,12.4
2012,3. Healthy life years at age 65 by sex,Males,Year,12.5
2012,3. Healthy life years at age 65 by sex,Females,Year,12.3
2013,3. Healthy life years at age 65 by sex,All Sexes,Year,12.8
2013,3. Healthy life years at age 65 by sex,Males,Year,12.8
2013,3. Healthy life years at age 65 by sex,Females,Year,12.7
2014,3. Healthy life years at age 65 by sex,All Sexes,Year,13.5
2014,3. Healthy life years at age 65 by sex,Males,Year,13.2
2014,3. Healthy life years at age 65 by sex,Females,Year,13.8
2015,3. Healthy life years at age 65 by sex,All Sexes,Year,13.7
2015,3. Healthy life years at age 65 by sex,Males,Year,13.3
2015,3. Healthy life years at age 65 by sex,Females,Year,13.9
2016,3. Healthy life years at age 65 by sex,All Sexes,Year,12.9
2016,3. Healthy life years at age 65 by sex,Males,Year,12.8
2016,3. Healthy life years at age 65 by sex,Females,Year,12.9
2017,3. Healthy life years at age 65 by sex,All Sexes,Year,13.9
2017,3. Healthy life years at age 65 by sex,Males,Year,13.6
2017,3. Healthy life years at age 65 by sex,Females,Year,14.2
2018,3. Healthy life years at age 65 by sex,All Sexes,Year,14.3
2018,3. Healthy life years at age 65 by sex,Males,Year,14.0
2018,3. Healthy life years at age 65 by sex,Females,Year,14.5
2019,3. Healthy life years at age 65 by sex,All Sexes,Year,14.8
2019,3. Healthy life years at age 65 by sex,Males,Year,14.4
2019,3. Healthy life years at age 65 by sex,Females,Year,15.1
2020,3. Healthy life years at age 65 by sex,All Sexes,Year,12.8
2020,3. Healthy life years at age 65 by sex,Males,Year,12.6
2020,3. Healthy life years at age 65 by sex,Females,Year,13.0
2021,3. Healthy life years at age 65 by sex,All Sexes,Year,11.9
2021,3. Healthy life years at age 65 by sex,Males,Year,12.2
2021,3. Healthy life years at age 65 by sex,Females,Year,11.6
2022,3. Healthy life years at age 65 by sex,All Sexes,Year,12.1
2022,3. Healthy life years at age 65 by sex,Males,Year,12.2
2022,3. Healthy life years at age 65 by sex,Females,Year,12.0
