Year,Sex,Education Level,Value
2010,All Sexes,Lower Secondary,98.1
2010,Female,Lower Secondary,98.0
2010,Male,Lower Secondary,98.2
2010,All Sexes,Primary,98.2
2010,Female,Primary,98.1
2010,Male,Primary,98.3
2010,All Sexes,Upper Secondary,66.1
2010,Female,Upper Secondary,71.8
2010,Male,Upper Secondary,60.6
2011,All Sexes,Lower Secondary,98.1
2011,Female,Lower Secondary,97.9
2011,Male,Lower Secondary,98.2
2011,All Sexes,Primary,98.2
2011,Female,Primary,98.0
2011,Male,Primary,98.3
2011,All Sexes,Upper Secondary,67.9
2011,Female,Upper Secondary,73.6
2011,Male,Upper Secondary,62.4
2012,All Sexes,Lower Secondary,98.0
2012,Female,Lower Secondary,97.9
2012,Male,Lower Secondary,98.1
2012,All Sexes,Primary,98.1
2012,Female,Primary,98.0
2012,Male,Primary,98.2
2012,All Sexes,Upper Secondary,69.6
2012,Female,Upper Secondary,75.3
2012,Male,Upper Secondary,64.2
2013,All Sexes,Lower Secondary,98.0
2013,Female,Lower Secondary,97.9
2013,Male,Lower Secondary,98.1
2013,All Sexes,Primary,98.0
2013,Female,Primary,97.9
2013,Male,Primary,98.1
2013,All Sexes,Upper Secondary,71.3
2013,Female,Upper Secondary,77.0
2013,Male,Upper Secondary,66.0
2014,All Sexes,Lower Secondary,98.0
2014,Female,Lower Secondary,97.9
2014,Male,Lower Secondary,98.0
2014,All Sexes,Primary,98.0
2014,Female,Primary,97.9
2014,Male,Primary,98.1
2014,All Sexes,Upper Secondary,72.6
2014,Female,Upper Secondary,78.3
2014,Male,Upper Secondary,67.4
2015,All Sexes,Lower Secondary,97.9
2015,Female,Lower Secondary,97.9
2015,Male,Lower Secondary,98.0
2015,All Sexes,Primary,98.0
2015,Female,Primary,97.8
2015,Male,Primary,98.1
2015,All Sexes,Upper Secondary,73.7
2015,Female,Upper Secondary,79.5
2015,Male,Upper Secondary,68.7
2016,All Sexes,Lower Secondary,97.8
2016,Female,Lower Secondary,97.8
2016,Male,Lower Secondary,97.9
2016,All Sexes,Primary,98.0
2016,Female,Primary,97.9
2016,Male,Primary,98.1
2016,All Sexes,Upper Secondary,74.7
2016,Female,Upper Secondary,80.3
2016,Male,Upper Secondary,69.8
2017,All Sexes,Lower Secondary,97.8
2017,Female,Lower Secondary,97.8
2017,Male,Lower Secondary,97.8
2017,All Sexes,Primary,98.0
2017,Female,Primary,97.9
2017,Male,Primary,98.1
2017,All Sexes,Upper Secondary,75.7
2017,Female,Upper Secondary,81.3
2017,Male,Upper Secondary,70.9
2018,All Sexes,Lower Secondary,97.8
2018,Female,Lower Secondary,97.8
2018,Male,Lower Secondary,97.8
2018,All Sexes,Primary,98.0
2018,Female,Primary,97.9
2018,Male,Primary,98.1
2018,All Sexes,Upper Secondary,76.7
2018,Female,Upper Secondary,82.4
2018,Male,Upper Secondary,72.0
2019,All Sexes,Lower Secondary,97.8
2019,Female,Lower Secondary,97.8
2019,Male,Lower Secondary,97.8
2019,All Sexes,Primary,98.0
2019,Female,Primary,97.9
2019,Male,Primary,98.1
2019,All Sexes,Upper Secondary,77.9
2019,Female,Upper Secondary,83.6
2019,Male,Upper Secondary,73.0
2020,All Sexes,Lower Secondary,97.9
2020,Female,Lower Secondary,97.9
2020,Male,Lower Secondary,97.8
2020,All Sexes,Primary,98.0
2020,Female,Primary,97.9
2020,Male,Primary,98.1
2020,All Sexes,Upper Secondary,78.9
2020,Female,Upper Secondary,84.7
2020,Male,Upper Secondary,73.8
2021,All Sexes,Lower Secondary,97.9
2021,Female,Lower Secondary,97.9
2021,Male,Lower Secondary,97.9
2021,All Sexes,Primary,98.1
2021,Female,Primary,98.0
2021,Male,Primary,98.1
2021,All Sexes,Upper Secondary,80.0
2021,Female,Upper Secondary,85.8
2021,Male,Upper Secondary,74.8
2022,All Sexes,Lower Secondary,98.0
2022,Female,Lower Secondary,98.0
2022,Male,Lower Secondary,97.9
2022,All Sexes,Primary,98.1
2022,Female,Primary,98.0
2022,Male,Primary,98.2
2022,All Sexes,Upper Secondary,81.1
2022,Female,Upper Secondary,87.0
2022,Male,Upper Secondary,75.7
2023,All Sexes,Lower Secondary,98.0
2023,Female,Lower Secondary,98.0
2023,Male,Lower Secondary,98.0
2023,All Sexes,Primary,98.1
2023,Female,Primary,98.0
2023,Male,Primary,98.2
2023,All Sexes,Upper Secondary,82.2
2023,Female,Upper Secondary,88.1
2023,Male,Upper Secondary,76.8
