Year,Value,Series
2009,13.69,"Total assistance for development, by donor countries (millions of current United States dollars)"
2010,13.8,"Total assistance for development, by donor countries (millions of current United States dollars)"
2011,19.96,"Total assistance for development, by donor countries (millions of current United States dollars)"
2012,18.58,"Total assistance for development, by donor countries (millions of current United States dollars)"
2013,18.26,"Total assistance for development, by donor countries (millions of current United States dollars)"
2014,20.41,"Total assistance for development, by donor countries (millions of current United States dollars)"
2015,16.56,"Total assistance for development, by donor countries (millions of current United States dollars)"
2016,20.55,"Total assistance for development, by donor countries (millions of current United States dollars)"
2017,24.99,"Total assistance for development, by donor countries (millions of current United States dollars)"
2018,32.93,"Total assistance for development, by donor countries (millions of current United States dollars)"
2019,41.01,"Total assistance for development, by donor countries (millions of current United States dollars)"
2020,53.4,"Total assistance for development, by donor countries (millions of current United States dollars)"
2021,52.17,"Total assistance for development, by donor countries (millions of current United States dollars)"
