Year,Value,Series
2010,1.27,Agriculture value added share of GDP (%)
2011,0.99,Agriculture value added share of GDP (%)
2012,1.06,Agriculture value added share of GDP (%)
2013,1.07,Agriculture value added share of GDP (%)
2014,1.0,Agriculture value added share of GDP (%)
2015,0.92,Agriculture value added share of GDP (%)
2016,0.93,Agriculture value added share of GDP (%)
2017,0.67,Agriculture value added share of GDP (%)
2018,0.65,Agriculture value added share of GDP (%)
2019,0.47,Agriculture value added share of GDP (%)
2020,0.77,Agriculture value added share of GDP (%)
2021,0.89,Agriculture value added share of GDP (%)
2010,1.37,Agriculture orientation index for government expenditures
2011,1.56,Agriculture orientation index for government expenditures
2012,1.38,Agriculture orientation index for government expenditures
2013,1.26,Agriculture orientation index for government expenditures
2014,1.18,Agriculture orientation index for government expenditures
2015,1.44,Agriculture orientation index for government expenditures
2016,1.36,Agriculture orientation index for government expenditures
2017,1.63,Agriculture orientation index for government expenditures
2018,2.01,Agriculture orientation index for government expenditures
2019,2.2,Agriculture orientation index for government expenditures
2020,1.21,Agriculture orientation index for government expenditures
2021,1.22,Agriculture orientation index for government expenditures
2010,1.73,Agriculture share of Government Expenditure (%)
2011,1.55,Agriculture share of Government Expenditure (%)
2012,1.46,Agriculture share of Government Expenditure (%)
2013,1.35,Agriculture share of Government Expenditure (%)
2014,1.19,Agriculture share of Government Expenditure (%)
2015,1.33,Agriculture share of Government Expenditure (%)
2016,1.26,Agriculture share of Government Expenditure (%)
2017,1.09,Agriculture share of Government Expenditure (%)
2018,1.32,Agriculture share of Government Expenditure (%)
2019,1.03,Agriculture share of Government Expenditure (%)
2020,0.93,Agriculture share of Government Expenditure (%)
2021,1.09,Agriculture share of Government Expenditure (%)
