Year,Value,Series
2010,1.2,Renewable energy share in the total final energy consumption
2011,2.0,Renewable energy share in the total final energy consumption
2012,2.7,Renewable energy share in the total final energy consumption
2013,3.2,Renewable energy share in the total final energy consumption
2014,4.5,Renewable energy share in the total final energy consumption
2015,6.0,Renewable energy share in the total final energy consumption
2016,9.2,Renewable energy share in the total final energy consumption
2017,7.3,Renewable energy share in the total final energy consumption
2018,7.6,Renewable energy share in the total final energy consumption
2019,7.4,Renewable energy share in the total final energy consumption
2020,9.2,Renewable energy share in the total final energy consumption
2021,8.6,Renewable energy share in the total final energy consumption
