Value,Disaggregation combinations using this value,Number of indicators
Clerical support workers (isco08-4),3,1
Craft and related trades workers (isco08-7),3,1
Dentists,3,1
Elementary occupations (isco08-9),3,1
Managers (isco08-1),3,1
Medical doctors,3,1
Nursing and midwifery personnel,3,1
Pharmacists,3,1
"Plant and machine operators, and assemblers (isco08-8)",3,1
Professionals (isco08-2),3,1
Service and sales workers (isco08-5),3,1
"Skilled agricultural, forestry and fishery workers (isco08-6)",1,1
Technicians and associate professionals (isco08-3),3,1
Total,3,1
