Value,Disaggregation combinations using this value,Number of indicators
ALP,3,1
BIM,3,1
Biomass,3,1
Coal,3,1
COL,3,1
CPR,3,1
CRO,3,1
Crop residues,3,1
Crops,3,1
FEO,3,1
Ferrous ores,3,1
FOF,3,1
Fossil fuels,3,1
GAS,3,1
GBO,3,1
Grazed biomass and fodder crops,3,1
MEO,3,1
Metal ores,3,1
Natural gas,3,1
NFO,3,1
NMA,3,1
NMC,3,1
NMM,3,1
Non-ferrous ores,3,1
Non-metallic minerals - construction dominant,3,1
Non-metallic minerals - industrial or agricultural dominant,3,1
Non-metallic minerals,3,1
Oil shale and tar sands,3,1
ONT,3,1
PET,3,1
Petroleum,3,1
Total or no breakdown,3,1
WCH,3,1
Wild catch and harvest,3,1
WOD,3,1
Wood,3,1
