Value,Disaggregation combinations using this value,Number of indicators
All Skills,8,1
"Changing privacy settings on your device, account or app to limit the sharing of personal data and information (e.g. name, contact information, photos)",1,1
Connecting and installing new devices,1,1
Copying or moving a file or folder,1,1
"Creating electronic presentations with presentation Finding, downloading, installing and configuring softwareware",1,1
Doing a formal online course,1,1
"Finding, downloading, installing and configuring software",1,1
Getting information about goods or services online,1,1
Participating in social networks,1,1
Purchasing or ordering goods or services using the Internet,1,1
"Reading or downloading on-line newspapers, magazines, or electronic books",1,1
"Seeking health information (on injury, disease, nutrition, etc.)",1,1
Sending e-mails with attached files,1,1
"Setting up effective security measures (e.g. strong passwords, log-in attempt notification) to protect devices and online accounts",1,1
Skill: Minimun proficiency in mathematics,9,1
Skill: Minimun proficiency in reading,9,1
Telephoning over the Internet/VoIP,1,1
Transferring files between a computer and other devices,1,1
Uploading self/user-created content to a website to be shared,1,1
Using basic arithmetic formula in a spreadsheet,1,1
Using copy and paste tools to duplicate or move information within a document,1,1
Using Internet banking,1,1
Verifying the reliability of information found online ,1,1
Writing a computer program using a specialized programming language,1,1
