Value,Disaggregation combinations using this value,Number of indicators
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,1,1
"Agriculture, forestry and fishing",1,1
Composting,1,1
Construction,1,1
"Electricity, gas, steam and air conditioning supply",1,1
Incineration to generate energy,3,1
Incineration,3,1
Landfilling,2,1
Manufacturing,1,1
Mining and quarrying,1,1
Other type of waste management,1,1
Recycling,1,1
Total,1,1
